,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
27,ED,CONSOLIDATED EDISON INC,2016-12-31,10-K,2019-02-21,,,1245000000.0,2780000000.0,12075000000.0,,,,48255000000.0
22,ED,CONSOLIDATED EDISON INC,2015-12-31,10-K,2016-02-18,944000000.0,12745000000.0,1193000000.0,2427000000.0,12554000000.0,,21976200.0,13052000000.0,45642000000.0
23,ED,CONSOLIDATED EDISON INC,2015-12-31,10-K,2017-02-16,944000000.0,12745000000.0,1193000000.0,2427000000.0,12554000000.0,,,13052000000.0,45642000000.0
24,ED,CONSOLIDATED EDISON INC,2015-12-31,10-K,2018-02-15,944000000.0,,1193000000.0,2427000000.0,12554000000.0,,,,45642000000.0
18,ED,CONSOLIDATED EDISON INC,2014-12-31,10-K,2015-02-19,699000000.0,12191000000.0,1092000000.0,2209000000.0,12919000000.0,,21976200.0,12576000000.0,44308000000.0
19,ED,CONSOLIDATED EDISON INC,2014-12-31,10-K,2016-02-18,699000000.0,12106000000.0,1092000000.0,2209000000.0,12919000000.0,,21976200.0,12576000000.0,44071000000.0
20,ED,CONSOLIDATED EDISON INC,2014-12-31,10-K,2017-02-16,699000000.0,,1092000000.0,2209000000.0,12919000000.0,,,,44071000000.0
21,ED,CONSOLIDATED EDISON INC,2014-12-31,10-K,2018-02-15,699000000.0,,,,,,,,
14,ED,CONSOLIDATED EDISON INC,2013-12-31,10-K,2014-02-21,674000000.0,10974000000.0,1062000000.0,2244000000.0,12354000000.0,,21976200.0,,40647000000.0
15,ED,CONSOLIDATED EDISON INC,2013-12-31,10-K,2015-02-19,674000000.0,10974000000.0,1062000000.0,2244000000.0,12354000000.0,,21976200.0,12245000000.0,40647000000.0
16,ED,CONSOLIDATED EDISON INC,2013-12-31,10-K,2016-02-18,674000000.0,,1062000000.0,2244000000.0,12354000000.0,,,,40451000000.0
17,ED,CONSOLIDATED EDISON INC,2013-12-31,10-K,2017-02-16,674000000.0,,,,,,,,
11,ED,CONSOLIDATED EDISON INC,2012-12-31,10-K,2013-02-21,394000000.0,10768000000.0,1141000000.0,2339000000.0,12188000000.0,,21976200.0,11869000000.0,41209000000.0
12,ED,CONSOLIDATED EDISON INC,2012-12-31,10-K,2014-02-21,394000000.0,10768000000.0,1141000000.0,2339000000.0,12188000000.0,,21976200.0,,41209000000.0
13,ED,CONSOLIDATED EDISON INC,2012-12-31,10-K,2015-02-19,394000000.0,,1141000000.0,2339000000.0,12188000000.0,,,,41209000000.0
7,ED,CONSOLIDATED EDISON INC,2011-12-31,10-K,2012-02-21,648000000.0,10673000000.0,1062000000.0,2239000000.0,12938000000.0,,21976200.0,11649000000.0,39214000000.0
