,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
70,DVN,DEVON ENERGY CORP/DE,2015-12-31,10-K,2017-02-15,2310000000.0,,-4532000000.0,-20727000000.0,2886000000.0,,7049000000.0,29451000000.0
71,DVN,DEVON ENERGY CORP/DE,2015-12-31,10-K,2018-02-21,2310000000.0,,-12896000000.0,,13145000000.0,,,29673000000.0
67,DVN,DEVON ENERGY CORP/DE,2015-09-30,10-K,2016-02-17,,,-3507000000.0,,3601000000.0,,,
68,DVN,DEVON ENERGY CORP/DE,2015-09-30,10-K,2017-02-15,,,-3507000000.0,,3601000000.0,,,
65,DVN,DEVON ENERGY CORP/DE,2015-06-30,10-K,2016-02-17,,,-2816000000.0,,3393000000.0,,,
66,DVN,DEVON ENERGY CORP/DE,2015-06-30,10-K,2017-02-15,,,-2816000000.0,,3393000000.0,,,
63,DVN,DEVON ENERGY CORP/DE,2015-03-31,10-K,2016-02-17,,,-3599000000.0,,3265000000.0,,,
64,DVN,DEVON ENERGY CORP/DE,2015-03-31,10-K,2017-02-15,,,-3599000000.0,,3265000000.0,,,
59,DVN,DEVON ENERGY CORP/DE,2014-12-31,10-K,2015-02-20,1480000000.0,,-408000000.0,4698000000.0,5995000000.0,,21539000000.0,50637000000.0
60,DVN,DEVON ENERGY CORP/DE,2014-12-31,10-K,2016-02-17,1480000000.0,,-408000000.0,4698000000.0,5995000000.0,,21539000000.0,50637000000.0
61,DVN,DEVON ENERGY CORP/DE,2014-12-31,10-K,2017-02-15,1480000000.0,,1607000000.0,4698000000.0,20638000000.0,,,50568000000.0
62,DVN,DEVON ENERGY CORP/DE,2014-12-31,10-K,2018-02-21,1480000000.0,,,,,,,
57,DVN,DEVON ENERGY CORP/DE,2014-09-30,10-K,2015-02-20,,,1016000000.0,,5336000000.0,,,
58,DVN,DEVON ENERGY CORP/DE,2014-09-30,10-K,2016-02-17,,,1016000000.0,,5336000000.0,,,
55,DVN,DEVON ENERGY CORP/DE,2014-06-30,10-K,2015-02-20,,,675000000.0,,4510000000.0,,,
56,DVN,DEVON ENERGY CORP/DE,2014-06-30,10-K,2016-02-17,,,675000000.0,,4510000000.0,,,
53,DVN,DEVON ENERGY CORP/DE,2014-03-31,10-K,2015-02-20,,,324000000.0,,3725000000.0,,,
54,DVN,DEVON ENERGY CORP/DE,2014-03-31,10-K,2016-02-17,,,324000000.0,,3725000000.0,,,
49,DVN,DEVON ENERGY CORP/DE,2013-12-31,10-K,2014-02-28,6066000000.0,,207000000.0,621000000.0,2624000000.0,,20499000000.0,42877000000.0
50,DVN,DEVON ENERGY CORP/DE,2013-12-31,10-K,2015-02-20,6066000000.0,,207000000.0,567000000.0,2624000000.0,,20499000000.0,42877000000.0
51,DVN,DEVON ENERGY CORP/DE,2013-12-31,10-K,2016-02-17,6066000000.0,,-20000000.0,567000000.0,10397000000.0,,,42877000000.0
52,DVN,DEVON ENERGY CORP/DE,2013-12-31,10-K,2017-02-15,6066000000.0,,,,,,,
47,DVN,DEVON ENERGY CORP/DE,2013-09-30,10-K,2014-02-28,,,429000000.0,,2714000000.0,,,
48,DVN,DEVON ENERGY CORP/DE,2013-09-30,10-K,2015-02-20,,,429000000.0,,2714000000.0,,,
45,DVN,DEVON ENERGY CORP/DE,2013-06-30,10-K,2014-02-28,,,683000000.0,,3088000000.0,,,
46,DVN,DEVON ENERGY CORP/DE,2013-06-30,10-K,2015-02-20,,,683000000.0,,3088000000.0,,,
43,DVN,DEVON ENERGY CORP/DE,2013-03-31,10-K,2014-02-28,,,-1339000000.0,,1971000000.0,,,
44,DVN,DEVON ENERGY CORP/DE,2013-03-31,10-K,2015-02-20,,,-1339000000.0,,1971000000.0,,,
39,DVN,DEVON ENERGY CORP/DE,2012-12-31,10-K,2013-02-21,4637000000.0,,-357000000.0,,2581000000.0,,21278000000.0,43326000000.0
40,DVN,DEVON ENERGY CORP/DE,2012-12-31,10-K,2014-02-28,4637000000.0,,-357000000.0,148000000.0,2580000000.0,,21278000000.0,43326000000.0
41,DVN,DEVON ENERGY CORP/DE,2012-12-31,10-K,2015-02-20,4637000000.0,,-206000000.0,74000000.0,9501000000.0,,,43326000000.0
42,DVN,DEVON ENERGY CORP/DE,2012-12-31,10-K,2016-02-17,4637000000.0,,,,,,,
37,DVN,DEVON ENERGY CORP/DE,2012-09-30,10-K,2013-02-21,,,-719000000.0,,1865000000.0,,,
38,DVN,DEVON ENERGY CORP/DE,2012-09-30,10-K,2014-02-28,,,-719000000.0,,1865000000.0,,,
35,DVN,DEVON ENERGY CORP/DE,2012-06-30,10-K,2013-02-21,,,477000000.0,,2559000000.0,,,
36,DVN,DEVON ENERGY CORP/DE,2012-06-30,10-K,2014-02-28,,,477000000.0,,2561000000.0,,,
33,DVN,DEVON ENERGY CORP/DE,2012-03-31,10-K,2013-02-21,,,393000000.0,,2497000000.0,,,
34,DVN,DEVON ENERGY CORP/DE,2012-03-31,10-K,2014-02-28,,,393000000.0,,2495000000.0,,,
29,DVN,DEVON ENERGY CORP/DE,2011-12-31,10-K,2012-02-24,5555000000.0,,507000000.0,,2585000000.0,,21430000000.0,41117000000.0
30,DVN,DEVON ENERGY CORP/DE,2011-12-31,10-K,2013-02-21,5555000000.0,,507000000.0,,2585000000.0,,21430000000.0,41117000000.0
31,DVN,DEVON ENERGY CORP/DE,2011-12-31,10-K,2014-02-28,5555000000.0,,4704000000.0,4632000000.0,11445000000.0,,,40964000000.0
32,DVN,DEVON ENERGY CORP/DE,2011-12-31,10-K,2015-02-20,5555000000.0,,,,,,,
