,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,stockholders_equity,total_assets
104,ACN,Accenture plc,2019-08-31,10-K,2019-10-29,6126853000.0,1130427000.0,1571493000.0,11055650000.0,14409008000.0,29789880000.0
105,ACN,Accenture plc,2019-08-31,10-K,2020-10-22,6126853000.0,1130427000.0,1571493000.0,11055650000.0,14409008000.0,29789880000.0
106,ACN,Accenture plc,2019-08-31,10-K,2021-10-15,,4779112000.0,6305074000.0,43215013000.0,,
102,ACN,Accenture plc,2019-05-31,10-K,2019-10-29,,1249516000.0,1717943000.0,11099688000.0,,
103,ACN,Accenture plc,2019-05-31,10-K,2020-10-22,,1249516000.0,1717943000.0,11099688000.0,,
100,ACN,Accenture plc,2019-02-28,10-K,2019-10-29,,1124449000.0,1386626000.0,10454129000.0,,
101,ACN,Accenture plc,2019-02-28,10-K,2020-10-22,,1124449000.0,1386626000.0,10454129000.0,,
98,ACN,Accenture plc,2018-11-30,10-K,2019-10-29,,1274720000.0,1629012000.0,10605546000.0,,
99,ACN,Accenture plc,2018-11-30,10-K,2020-10-22,,1274720000.0,1629012000.0,10605546000.0,,
95,ACN,Accenture plc,2018-08-31,10-K,2018-10-24,5061360000.0,1029524000.0,1452671000.0,10642249000.0,10364753000.0,24449083000.0
96,ACN,Accenture plc,2018-08-31,10-K,2019-10-29,5061360000.0,1029524000.0,1469684000.0,10503987000.0,10364753000.0,24449083000.0
97,ACN,Accenture plc,2018-08-31,10-K,2020-10-22,5061360000.0,4059907000.0,5898779000.0,40992534000.0,,
93,ACN,Accenture plc,2018-05-31,10-K,2018-10-24,,1043020000.0,1619726000.0,10838854000.0,,
94,ACN,Accenture plc,2018-05-31,10-K,2019-10-29,,1043020000.0,1634875000.0,10694996000.0,,
91,ACN,Accenture plc,2018-02-28,10-K,2018-10-24,,863703000.0,1282764000.0,10067832000.0,,
92,ACN,Accenture plc,2018-02-28,10-K,2019-10-29,,863703000.0,1296044000.0,9909238000.0,,
89,ACN,Accenture plc,2017-11-30,10-K,2018-10-24,,1123660000.0,1485880000.0,10054493000.0,,
90,ACN,Accenture plc,2017-11-30,10-K,2019-10-29,,1123660000.0,1498176000.0,9884313000.0,,
85,ACN,Accenture plc,2017-08-31,10-K,2017-10-26,4126860000.0,932453000.0,1296562000.0,9640906000.0,8949477000.0,22689890000.0
86,ACN,Accenture plc,2017-08-31,10-K,2018-10-24,4126860000.0,932453000.0,1296562000.0,9640906000.0,8949477000.0,22689890000.0
87,ACN,Accenture plc,2017-08-31,10-K,2019-10-29,4126860000.0,3445149000.0,5191402000.0,36176841000.0,,
88,ACN,Accenture plc,2017-08-31,10-K,2020-10-22,4126860000.0,,,,,
83,ACN,Accenture plc,2017-05-31,10-K,2017-10-26,,669468000.0,865435000.0,9356787000.0,,
84,ACN,Accenture plc,2017-05-31,10-K,2018-10-24,,669468000.0,865435000.0,9356787000.0,,
81,ACN,Accenture plc,2017-02-28,10-K,2017-10-26,,838752000.0,1138653000.0,8762182000.0,,
82,ACN,Accenture plc,2017-02-28,10-K,2018-10-24,,838752000.0,1138653000.0,8762182000.0,,
79,ACN,Accenture plc,2016-11-30,10-K,2017-10-26,,1004476000.0,1331959000.0,9005603000.0,,
80,ACN,Accenture plc,2016-11-30,10-K,2018-10-24,,1004476000.0,1331959000.0,9005603000.0,,
75,ACN,Accenture plc,2016-08-31,10-K,2016-10-28,4905609000.0,1069226000.0,1195198000.0,8965580000.0,7555262000.0,20609004000.0
76,ACN,Accenture plc,2016-08-31,10-K,2017-10-26,4905609000.0,1069226000.0,1195198000.0,8965580000.0,7555262000.0,20609004000.0
77,ACN,Accenture plc,2016-08-31,10-K,2018-10-24,4905609000.0,4111892000.0,4810445000.0,34797661000.0,,
78,ACN,Accenture plc,2016-08-31,10-K,2019-10-29,4905609000.0,,,,,
73,ACN,Accenture plc,2016-05-31,10-K,2016-10-28,,897247000.0,1305943000.0,8969044000.0,,
74,ACN,Accenture plc,2016-05-31,10-K,2017-10-26,,897247000.0,1305943000.0,8969044000.0,,
71,ACN,Accenture plc,2016-02-29,10-K,2016-10-28,,1326520000.0,1088044000.0,8397053000.0,,
72,ACN,Accenture plc,2016-02-29,10-K,2017-10-26,,1326520000.0,1088044000.0,8397053000.0,,
69,ACN,Accenture plc,2015-11-30,10-K,2016-10-28,,818899000.0,1221260000.0,8465984000.0,,
70,ACN,Accenture plc,2015-11-30,10-K,2017-10-26,,818899000.0,1221260000.0,8465984000.0,,
65,ACN,Accenture plc,2015-08-31,10-K,2015-10-30,4360766000.0,737628000.0,1093608000.0,8364511000.0,6133725000.0,18266058000.0
66,ACN,Accenture plc,2015-08-31,10-K,2016-10-28,4360766000.0,737628000.0,1093608000.0,8364511000.0,6133725000.0,18202647000.0
67,ACN,Accenture plc,2015-08-31,10-K,2017-10-26,4360766000.0,3053581000.0,4435869000.0,32914424000.0,,
68,ACN,Accenture plc,2015-08-31,10-K,2018-10-24,4360766000.0,,,,,
63,ACN,Accenture plc,2015-05-31,10-K,2015-10-30,,793697000.0,1133519000.0,8275066000.0,,
64,ACN,Accenture plc,2015-05-31,10-K,2016-10-28,,793697000.0,1133519000.0,8275066000.0,,
61,ACN,Accenture plc,2015-02-28,10-K,2015-10-30,,690726000.0,1021033000.0,7931590000.0,,
62,ACN,Accenture plc,2015-02-28,10-K,2016-10-28,,690726000.0,1021033000.0,7931590000.0,,
59,ACN,Accenture plc,2014-11-30,10-K,2015-10-30,,831530000.0,1187709000.0,8343257000.0,,
60,ACN,Accenture plc,2014-11-30,10-K,2016-10-28,,831530000.0,1187709000.0,8343257000.0,,
55,ACN,Accenture plc,2014-08-31,10-K,2014-10-24,4921305000.0,701016000.0,1079365000.0,8267319000.0,5732035000.0,17930452000.0
56,ACN,Accenture plc,2014-08-31,10-K,2015-10-30,4921305000.0,701016000.0,1079365000.0,8267319000.0,5732035000.0,17930452000.0
57,ACN,Accenture plc,2014-08-31,10-K,2016-10-28,4921305000.0,2941498000.0,4300512000.0,31874678000.0,,
58,ACN,Accenture plc,2014-08-31,10-K,2017-10-26,4921305000.0,,,,,
53,ACN,Accenture plc,2014-05-31,10-K,2014-10-24,,817336000.0,1178766000.0,8240180000.0,,
54,ACN,Accenture plc,2014-05-31,10-K,2015-10-30,,817336000.0,1178766000.0,8240180000.0,,
51,ACN,Accenture plc,2014-02-28,10-K,2014-10-24,,671300000.0,951282000.0,7567483000.0,,
52,ACN,Accenture plc,2014-02-28,10-K,2015-10-30,,671300000.0,951282000.0,7567483000.0,,
49,ACN,Accenture plc,2013-11-30,10-K,2014-10-24,,751846000.0,1091099000.0,7799696000.0,,
50,ACN,Accenture plc,2013-11-30,10-K,2015-10-30,,751846000.0,1091099000.0,7799696000.0,,
45,ACN,Accenture plc,2013-08-31,10-K,2013-10-29,5631885000.0,671001000.0,983503000.0,7524994000.0,4960186000.0,16867049000.0
46,ACN,Accenture plc,2013-08-31,10-K,2014-10-24,5631885000.0,671001000.0,983503000.0,7524994000.0,4960186000.0,16867049000.0
47,ACN,Accenture plc,2013-08-31,10-K,2015-10-30,5631885000.0,3281878000.0,4338680000.0,30394285000.0,,
48,ACN,Accenture plc,2013-08-31,10-K,2016-10-28,5631885000.0,,,,,
43,ACN,Accenture plc,2013-05-31,10-K,2013-10-29,,810258000.0,1141971000.0,7707935000.0,,
44,ACN,Accenture plc,2013-05-31,10-K,2014-10-24,,810258000.0,1141971000.0,7707935000.0,,
41,ACN,Accenture plc,2013-02-28,10-K,2013-10-29,,1101802000.0,1164532000.0,7493320000.0,,
42,ACN,Accenture plc,2013-02-28,10-K,2014-10-24,,1101802000.0,1164532000.0,7493320000.0,,
39,ACN,Accenture plc,2012-11-30,10-K,2013-10-29,,698817000.0,1048674000.0,7668036000.0,,
40,ACN,Accenture plc,2012-11-30,10-K,2014-10-24,,698817000.0,1048674000.0,7668036000.0,,
35,ACN,Accenture plc,2012-08-31,10-K,2012-10-30,6640526000.0,578282000.0,940350000.0,7288259000.0,4145833000.0,16665415000.0
36,ACN,Accenture plc,2012-08-31,10-K,2013-10-29,6640526000.0,578282000.0,940350000.0,7288259000.0,4145833000.0,16665415000.0
