,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
52,CHD,"CHURCH & DWIGHT CO., INC.",2014-03-31,10-K,2015-02-20,,,102600000.0,162000000.0,,,,
53,CHD,"CHURCH & DWIGHT CO., INC.",2014-03-31,10-K,2016-02-19,,,102600000.0,162000000.0,,,,
48,CHD,"CHURCH & DWIGHT CO., INC.",2013-12-31,10-K,2014-02-21,496900000.0,,92200000.0,144600000.0,,2299900000.0,4259700000.0,1959700000.0
49,CHD,"CHURCH & DWIGHT CO., INC.",2013-12-31,10-K,2015-02-20,496900000.0,649500000.0,92200000.0,144600000.0,,2299900000.0,4259700000.0,1959700000.0
50,CHD,"CHURCH & DWIGHT CO., INC.",2013-12-31,10-K,2016-02-19,496900000.0,,,622200000.0,,,4237300000.0,
51,CHD,"CHURCH & DWIGHT CO., INC.",2013-12-31,10-K,2017-02-24,496900000.0,,,,,,,
46,CHD,"CHURCH & DWIGHT CO., INC.",2013-09-30,10-K,2014-02-21,,,107900000.0,167800000.0,,,,
47,CHD,"CHURCH & DWIGHT CO., INC.",2013-09-30,10-K,2015-02-20,,,107900000.0,167800000.0,,,,
44,CHD,"CHURCH & DWIGHT CO., INC.",2013-06-30,10-K,2014-02-21,,,86600000.0,140500000.0,,,,
45,CHD,"CHURCH & DWIGHT CO., INC.",2013-06-30,10-K,2015-02-20,,,86600000.0,140500000.0,,,,
42,CHD,"CHURCH & DWIGHT CO., INC.",2013-03-31,10-K,2014-02-21,,,107700000.0,169300000.0,,,,
43,CHD,"CHURCH & DWIGHT CO., INC.",2013-03-31,10-K,2015-02-20,,,107700000.0,169300000.0,,,,
38,CHD,"CHURCH & DWIGHT CO., INC.",2012-12-31,10-K,2013-02-22,343000000.0,,80800000.0,134600000.0,,2060900000.0,4098100000.0,2037000000.0
39,CHD,"CHURCH & DWIGHT CO., INC.",2012-12-31,10-K,2014-02-21,343000000.0,,80800000.0,134600000.0,,2060900000.0,4098100000.0,2037000000.0
40,CHD,"CHURCH & DWIGHT CO., INC.",2012-12-31,10-K,2015-02-20,343000000.0,,,545100000.0,,,4098100000.0,
41,CHD,"CHURCH & DWIGHT CO., INC.",2012-12-31,10-K,2016-02-19,343000000.0,,,,,,,
36,CHD,"CHURCH & DWIGHT CO., INC.",2012-09-30,10-K,2013-02-22,,,93900000.0,145400000.0,,,,
37,CHD,"CHURCH & DWIGHT CO., INC.",2012-09-30,10-K,2014-02-21,,,93900000.0,145400000.0,,,,
34,CHD,"CHURCH & DWIGHT CO., INC.",2012-06-30,10-K,2013-02-22,,,79300000.0,122400000.0,,,,
35,CHD,"CHURCH & DWIGHT CO., INC.",2012-06-30,10-K,2014-02-21,,,79300000.0,122400000.0,,,,
32,CHD,"CHURCH & DWIGHT CO., INC.",2012-03-31,10-K,2013-02-22,,,95800000.0,142700000.0,,,,
33,CHD,"CHURCH & DWIGHT CO., INC.",2012-03-31,10-K,2014-02-21,,,95800000.0,142700000.0,,,,
28,CHD,"CHURCH & DWIGHT CO., INC.",2011-12-31,10-K,2012-02-24,251400000.0,,63800000.0,117400000.0,,2040600000.0,3117600000.0,1076800000.0
29,CHD,"CHURCH & DWIGHT CO., INC.",2011-12-31,10-K,2013-02-22,251400000.0,,63800000.0,117400000.0,,2040600000.0,3117600000.0,1076800000.0
30,CHD,"CHURCH & DWIGHT CO., INC.",2011-12-31,10-K,2014-02-21,251400000.0,,63800000.0,117400000.0,,,3117600000.0,
31,CHD,"CHURCH & DWIGHT CO., INC.",2011-12-31,10-K,2015-02-20,251400000.0,,,,,,,
25,CHD,"CHURCH & DWIGHT CO., INC.",2011-09-30,10-K,2012-02-24,,,79600000.0,126300000.0,,,,
26,CHD,"CHURCH & DWIGHT CO., INC.",2011-09-30,10-K,2013-02-22,,,79600000.0,126300000.0,,,,
27,CHD,"CHURCH & DWIGHT CO., INC.",2011-09-30,10-K,2014-02-21,,,79600000.0,126300000.0,,,,
24,CHD,"CHURCH & DWIGHT CO., INC.",2011-07-01,10-K,2012-02-24,,,82600000.0,117800000.0,,,,
22,CHD,"CHURCH & DWIGHT CO., INC.",2011-06-30,10-K,2013-02-22,,,82600000.0,117800000.0,,,,
23,CHD,"CHURCH & DWIGHT CO., INC.",2011-06-30,10-K,2014-02-21,,,82600000.0,117800000.0,,,,
21,CHD,"CHURCH & DWIGHT CO., INC.",2011-04-01,10-K,2012-02-24,,,83600000.0,131100000.0,,,,
19,CHD,"CHURCH & DWIGHT CO., INC.",2011-03-31,10-K,2013-02-22,,,83600000.0,131100000.0,,,,
20,CHD,"CHURCH & DWIGHT CO., INC.",2011-03-31,10-K,2014-02-21,,,83600000.0,131100000.0,,,,
15,CHD,"CHURCH & DWIGHT CO., INC.",2010-12-31,10-K,2011-02-24,189202000.0,,270717000.0,444953000.0,,1870689000.0,2945194000.0,1074335000.0
16,CHD,"CHURCH & DWIGHT CO., INC.",2010-12-31,10-K,2012-02-24,189200000.0,,47000000.0,80000000.0,,1870700000.0,2945200000.0,1074300000.0
17,CHD,"CHURCH & DWIGHT CO., INC.",2010-12-31,10-K,2013-02-22,189200000.0,,47000000.0,80000000.0,,,2945200000.0,
18,CHD,"CHURCH & DWIGHT CO., INC.",2010-12-31,10-K,2014-02-21,189200000.0,,,,,,,
14,CHD,"CHURCH & DWIGHT CO., INC.",2010-10-01,10-K,2012-02-24,,,69500000.0,113000000.0,,,,
13,CHD,"CHURCH & DWIGHT CO., INC.",2010-09-30,10-K,2013-02-22,,,69500000.0,113000000.0,,,,
12,CHD,"CHURCH & DWIGHT CO., INC.",2010-07-02,10-K,2012-02-24,,,74200000.0,120000000.0,,,,
11,CHD,"CHURCH & DWIGHT CO., INC.",2010-06-30,10-K,2013-02-22,,,74200000.0,120000000.0,,,,
10,CHD,"CHURCH & DWIGHT CO., INC.",2010-04-02,10-K,2012-02-24,,,80000000.0,132000000.0,,,,
9,CHD,"CHURCH & DWIGHT CO., INC.",2010-03-31,10-K,2013-02-22,,,80000000.0,132000000.0,,,,
6,CHD,"CHURCH & DWIGHT CO., INC.",2009-12-31,10-K,2011-02-24,447143000.0,,243533000.0,412892000.0,,1601583000.0,3118446000.0,1516674000.0
7,CHD,"CHURCH & DWIGHT CO., INC.",2009-12-31,10-K,2012-02-24,447100000.0,,52800000.0,91300000.0,,,3118400000.0,
8,CHD,"CHURCH & DWIGHT CO., INC.",2009-12-31,10-K,2013-02-22,447100000.0,,,,,,,
5,CHD,"CHURCH & DWIGHT CO., INC.",2009-09-25,10-K,2012-02-24,,,70000000.0,117900000.0,,,,
4,CHD,"CHURCH & DWIGHT CO., INC.",2009-06-26,10-K,2012-02-24,,,58200000.0,99000000.0,,,,
3,CHD,"CHURCH & DWIGHT CO., INC.",2009-03-27,10-K,2012-02-24,,,62500000.0,104700000.0,,,,
1,CHD,"CHURCH & DWIGHT CO., INC.",2008-12-31,10-K,2011-02-24,197999000.0,,195174000.0,340332000.0,,,,
2,CHD,"CHURCH & DWIGHT CO., INC.",2008-12-31,10-K,2012-02-24,198000000.0,,,,,,,
0,CHD,"CHURCH & DWIGHT CO., INC.",2007-12-31,10-K,2011-02-24,249809000.0,,,,,,,
