,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
66,ADI,"Analog Devices, Inc.",2015-05-02,10-K,2015-11-24,,,249008000.0,,,,,
67,ADI,"Analog Devices, Inc.",2015-05-02,10-K,2016-11-22,,,249008000.0,,,,,
64,ADI,"Analog Devices, Inc.",2015-01-31,10-K,2015-11-24,,,207934000.0,,,,,
65,ADI,"Analog Devices, Inc.",2015-01-31,10-K,2016-11-22,,,207934000.0,,,,,
60,ADI,"Analog Devices, Inc.",2014-11-01,10-K,2014-12-10,569233000.0,629320000.0,149929000.0,,,311204926.0,4757897000.0,6859690000.0
61,ADI,"Analog Devices, Inc.",2014-11-01,10-K,2015-11-24,569233000.0,629320000.0,149929000.0,,,311204926.0,4757897000.0,6859690000.0
62,ADI,"Analog Devices, Inc.",2014-11-01,10-K,2016-11-22,569233000.0,629320000.0,752484000.0,,,,,
63,ADI,"Analog Devices, Inc.",2014-11-01,10-K,2017-11-22,569233000.0,,,,,,,
58,ADI,"Analog Devices, Inc.",2014-08-02,10-K,2014-12-10,,,202546000.0,,,,,
59,ADI,"Analog Devices, Inc.",2014-08-02,10-K,2015-11-24,,,202546000.0,,,,,
56,ADI,"Analog Devices, Inc.",2014-05-03,10-K,2014-12-10,,,220400000.0,,,,,
57,ADI,"Analog Devices, Inc.",2014-05-03,10-K,2015-11-24,,,220400000.0,,,,,
54,ADI,"Analog Devices, Inc.",2014-02-01,10-K,2014-12-10,,,179609000.0,,,,,
55,ADI,"Analog Devices, Inc.",2014-02-01,10-K,2015-11-24,,,179609000.0,,,,,
50,ADI,"Analog Devices, Inc.",2013-11-02,10-K,2013-11-26,392089000.0,673487000.0,199862000.0,,,311045084.0,4739576000.0,6381750000.0
51,ADI,"Analog Devices, Inc.",2013-11-02,10-K,2014-12-10,392089000.0,673487000.0,199862000.0,,,311045084.0,4739576000.0,6381750000.0
52,ADI,"Analog Devices, Inc.",2013-11-02,10-K,2015-11-24,392089000.0,673487000.0,753075000.0,,,,,
53,ADI,"Analog Devices, Inc.",2013-11-02,10-K,2016-11-22,392089000.0,,,,,,,
48,ADI,"Analog Devices, Inc.",2013-08-03,10-K,2013-11-26,,,208342000.0,,,,,
49,ADI,"Analog Devices, Inc.",2013-08-03,10-K,2014-12-10,,,208342000.0,,,,,
46,ADI,"Analog Devices, Inc.",2013-05-04,10-K,2013-11-26,,,191382000.0,,,,,
47,ADI,"Analog Devices, Inc.",2013-05-04,10-K,2014-12-10,,,191382000.0,,,,,
44,ADI,"Analog Devices, Inc.",2013-02-02,10-K,2013-11-26,,,153489000.0,,,,,
45,ADI,"Analog Devices, Inc.",2013-02-02,10-K,2014-12-10,,,153489000.0,,,,,
40,ADI,"Analog Devices, Inc.",2012-11-03,10-K,2012-11-27,528833000.0,651236000.0,215279000.0,,,301389176.0,4165359000.0,5620347000.0
41,ADI,"Analog Devices, Inc.",2012-11-03,10-K,2013-11-26,528833000.0,651236000.0,215279000.0,,,301389176.0,4165359000.0,5620347000.0
42,ADI,"Analog Devices, Inc.",2012-11-03,10-K,2014-12-10,528833000.0,651236000.0,824048000.0,,,,,
43,ADI,"Analog Devices, Inc.",2012-11-03,10-K,2015-11-24,528833000.0,,,,,,,
38,ADI,"Analog Devices, Inc.",2012-08-04,10-K,2012-11-27,,,212471000.0,,,,,
39,ADI,"Analog Devices, Inc.",2012-08-04,10-K,2013-11-26,,,212471000.0,,,,,
36,ADI,"Analog Devices, Inc.",2012-05-05,10-K,2012-11-27,,,212926000.0,,,,,
37,ADI,"Analog Devices, Inc.",2012-05-05,10-K,2013-11-26,,,212926000.0,,,,,
34,ADI,"Analog Devices, Inc.",2012-02-04,10-K,2012-11-27,,,183372000.0,,,,,
35,ADI,"Analog Devices, Inc.",2012-02-04,10-K,2013-11-26,,,183372000.0,,,,,
30,ADI,"Analog Devices, Inc.",2011-10-29,10-K,2011-11-22,1405100000.0,867394000.0,235292000.0,,,297960718.0,3795413000.0,5277635000.0
31,ADI,"Analog Devices, Inc.",2011-10-29,10-K,2012-11-27,1405100000.0,867394000.0,235292000.0,,,297960718.0,3795413000.0,5277635000.0
32,ADI,"Analog Devices, Inc.",2011-10-29,10-K,2013-11-26,,867394000.0,1072025000.0,,,,,
33,ADI,"Analog Devices, Inc.",2011-10-29,10-K,2014-12-10,1405100000.0,,,,,,,
28,ADI,"Analog Devices, Inc.",2011-07-30,10-K,2011-11-22,,,278841000.0,,,,,
29,ADI,"Analog Devices, Inc.",2011-07-30,10-K,2012-11-27,,,278841000.0,,,,,
26,ADI,"Analog Devices, Inc.",2011-04-30,10-K,2011-11-22,,,298486000.0,,,,,
27,ADI,"Analog Devices, Inc.",2011-04-30,10-K,2012-11-27,,,298486000.0,,,,,
25,ADI,"Analog Devices, Inc.",2011-02-04,10-K,2012-11-27,,,259406000.0,,,,,
24,ADI,"Analog Devices, Inc.",2011-01-29,10-K,2011-11-22,,,259406000.0,,,,,
20,ADI,"Analog Devices, Inc.",2010-10-30,10-K,2010-11-22,1070000000.0,,285740000.0,,,298652994.0,3199717000.0,4328831000.0
21,ADI,"Analog Devices, Inc.",2010-10-30,10-K,2011-11-22,1070000000.0,712084000.0,285740000.0,,,298652994.0,3199717000.0,4328831000.0
22,ADI,"Analog Devices, Inc.",2010-10-30,10-K,2012-11-27,1070000000.0,712084000.0,900074000.0,,,,,
23,ADI,"Analog Devices, Inc.",2010-10-30,10-K,2013-11-26,1405100000.0,,,,,,,
