,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,total_assets,total_liabilities
48,T,AT&T INC.,2013-09-30,10-K,2015-02-20,,,3814000000.0,6188000000.0,32158000000.0,,
45,T,AT&T INC.,2013-06-30,10-K,2014-02-21,,,3822000000.0,6113000000.0,32075000000.0,,
46,T,AT&T INC.,2013-06-30,10-K,2015-02-20,,,3822000000.0,6113000000.0,32075000000.0,,
43,T,AT&T INC.,2013-03-31,10-K,2014-02-21,,,3700000000.0,5940000000.0,31356000000.0,,
44,T,AT&T INC.,2013-03-31,10-K,2015-02-20,,,3700000000.0,5940000000.0,31356000000.0,,
39,T,AT&T INC.,2012-12-31,10-K,2013-02-22,4868000000.0,,-3857000000.0,-5958000000.0,32578000000.0,272315000000.0,
40,T,AT&T INC.,2012-12-31,10-K,2014-02-21,4868000000.0,,-3857000000.0,-5958000000.0,32578000000.0,272315000000.0,
41,T,AT&T INC.,2012-12-31,10-K,2015-02-20,4868000000.0,,7264000000.0,12997000000.0,127434000000.0,,
42,T,AT&T INC.,2012-12-31,10-K,2016-02-18,4868000000.0,,,,,,
37,T,AT&T INC.,2012-09-30,10-K,2013-02-22,,,3635000000.0,6037000000.0,31459000000.0,,
38,T,AT&T INC.,2012-09-30,10-K,2014-02-21,,,3635000000.0,6037000000.0,31459000000.0,,
35,T,AT&T INC.,2012-06-30,10-K,2013-02-22,,,3902000000.0,6817000000.0,31575000000.0,,
36,T,AT&T INC.,2012-06-30,10-K,2014-02-21,,,3902000000.0,6817000000.0,31575000000.0,,
33,T,AT&T INC.,2012-03-31,10-K,2013-02-22,,,3584000000.0,6101000000.0,31822000000.0,,
34,T,AT&T INC.,2012-03-31,10-K,2014-02-21,,,3584000000.0,6101000000.0,31822000000.0,,
29,T,AT&T INC.,2011-12-31,10-K,2012-02-24,3185000000.0,64753000000.0,-6678000000.0,-8990000000.0,32503000000.0,270344000000.0,
30,T,AT&T INC.,2011-12-31,10-K,2013-02-22,3045000000.0,,-6678000000.0,-8990000000.0,32503000000.0,270442000000.0,
31,T,AT&T INC.,2011-12-31,10-K,2014-02-21,3045000000.0,,3944000000.0,9218000000.0,126723000000.0,,
32,T,AT&T INC.,2011-12-31,10-K,2015-02-20,3045000000.0,,,,,,
27,T,AT&T INC.,2011-09-30,10-K,2012-02-24,,,3623000000.0,6235000000.0,31478000000.0,,
28,T,AT&T INC.,2011-09-30,10-K,2013-02-22,,,3623000000.0,6235000000.0,31478000000.0,,
25,T,AT&T INC.,2011-06-30,10-K,2012-02-24,,,3591000000.0,6165000000.0,31495000000.0,,
26,T,AT&T INC.,2011-06-30,10-K,2013-02-22,,,3591000000.0,6165000000.0,31495000000.0,,
23,T,AT&T INC.,2011-03-31,10-K,2012-02-24,,,3408000000.0,5808000000.0,31247000000.0,,
24,T,AT&T INC.,2011-03-31,10-K,2013-02-22,,,3408000000.0,5808000000.0,31247000000.0,,
19,T,AT&T INC.,2010-12-31,10-K,2011-03-01,1437000000.0,64515000000.0,1089000000.0,2088000000.0,31361000000.0,268488000000.0,
20,T,AT&T INC.,2010-12-31,10-K,2012-02-24,1437000000.0,64515000000.0,1089000000.0,2088000000.0,31361000000.0,269391000000.0,
21,T,AT&T INC.,2010-12-31,10-K,2013-02-22,1201000000.0,,19864000000.0,19573000000.0,124280000000.0,,
22,T,AT&T INC.,2010-12-31,10-K,2014-02-21,1201000000.0,,,,,,
17,T,AT&T INC.,2010-09-30,10-K,2011-03-01,,,12319000000.0,5431000000.0,31581000000.0,,
18,T,AT&T INC.,2010-09-30,10-K,2012-02-24,,,12319000000.0,5431000000.0,31581000000.0,,
15,T,AT&T INC.,2010-06-30,10-K,2011-03-01,,,4003000000.0,6083000000.0,30808000000.0,,
16,T,AT&T INC.,2010-06-30,10-K,2012-02-24,,,4003000000.0,6083000000.0,30808000000.0,,
13,T,AT&T INC.,2010-03-31,10-K,2011-03-01,,,2453000000.0,5971000000.0,30530000000.0,,
14,T,AT&T INC.,2010-03-31,10-K,2012-02-24,,,2453000000.0,5971000000.0,30530000000.0,,
9,T,AT&T INC.,2009-12-31,10-K,2010-02-25,3802000000.0,,12535000000.0,21492000000.0,123018000000.0,268752000000.0,
10,T,AT&T INC.,2009-12-31,10-K,2011-03-01,3741000000.0,72048000000.0,2730000000.0,4564000000.0,30708000000.0,268312000000.0,
11,T,AT&T INC.,2009-12-31,10-K,2012-02-24,3741000000.0,,12138000000.0,21000000000.0,122513000000.0,,
12,T,AT&T INC.,2009-12-31,10-K,2013-02-22,3277000000.0,,,,,,
8,T,AT&T INC.,2009-09-30,10-K,2011-03-01,,,3155000000.0,5311000000.0,30734000000.0,,
7,T,AT&T INC.,2009-06-30,10-K,2011-03-01,,,3162000000.0,5441000000.0,30614000000.0,,
6,T,AT&T INC.,2009-03-31,10-K,2011-03-01,,,3091000000.0,5684000000.0,30457000000.0,,
3,T,AT&T INC.,2008-12-31,10-K,2010-02-25,1792000000.0,,12867000000.0,23063000000.0,124028000000.0,265245000000.0,
4,T,AT&T INC.,2008-12-31,10-K,2011-03-01,1727000000.0,,-2625000000.0,-1690000000.0,123443000000.0,,
5,T,AT&T INC.,2008-12-31,10-K,2012-02-24,1727000000.0,,,,,,
1,T,AT&T INC.,2007-12-31,10-K,2010-02-25,1970000000.0,,11951000000.0,20404000000.0,118928000000.0,,
2,T,AT&T INC.,2007-12-31,10-K,2011-03-01,1905000000.0,,,,,,
0,T,AT&T INC.,2006-12-31,10-K,2010-02-25,2418000000.0,,,,,,
