,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
23,TECH,BIO-TECHNE CORPORATION,2015-06-30,10-K,2016-08-29,54532000.0,107735000.0,147023000.0,,,37152979.0,846935000.0,1063360000.0
24,TECH,BIO-TECHNE CORPORATION,2015-06-30,10-K,2017-09-07,54532000.0,107735000.0,147023000.0,,,,846935000.0,
25,TECH,BIO-TECHNE CORPORATION,2015-06-30,10-K,2018-08-27,54532000.0,,,,,,846935000.0,
18,TECH,BIO-TECHNE CORPORATION,2014-06-30,10-K,2014-08-29,318568000.0,110948000.0,159750000.0,,,37002203.0,795265000.0,862491000.0
19,TECH,BIO-TECHNE CORPORATION,2014-06-30,10-K,2015-08-31,318568000.0,110948000.0,159750.0,,,37002203.0,795265000.0,862491000.0
20,TECH,BIO-TECHNE CORPORATION,2014-06-30,10-K,2016-08-29,318568000.0,110948000.0,159750000.0,,,,795265000.0,862491000.0
21,TECH,BIO-TECHNE CORPORATION,2014-06-30,10-K,2017-09-07,318568000.0,,,,,,795265000.0,
14,TECH,BIO-TECHNE CORPORATION,2013-06-30,10-K,2013-08-29,163786000.0,112561000.0,158469000.0,,,36834678.0,737541000.0,778098000.0
15,TECH,BIO-TECHNE CORPORATION,2013-06-30,10-K,2014-08-29,163786000.0,112561000.0,158469000.0,,,36834678.0,737541000.0,778098000.0
16,TECH,BIO-TECHNE CORPORATION,2013-06-30,10-K,2015-08-31,163786000.0,112561000.0,158469.0,,,,737541000.0,778098000.0
17,TECH,BIO-TECHNE CORPORATION,2013-06-30,10-K,2016-08-29,163786000.0,,,,,,737541000.0,
10,TECH,BIO-TECHNE CORPORATION,2012-06-30,10-K,2012-08-29,116675000.0,112331000.0,166209000.0,,,36826364.0,674442000.0,719324000.0
11,TECH,BIO-TECHNE CORPORATION,2012-06-30,10-K,2013-08-29,116675000.0,112331000.0,166209000.0,,,36826364.0,674442000.0,719324000.0
12,TECH,BIO-TECHNE CORPORATION,2012-06-30,10-K,2014-08-29,116675000.0,112331000.0,166209000.0,,,,674442000.0,719324000.0
13,TECH,BIO-TECHNE CORPORATION,2012-06-30,10-K,2015-08-31,116675000.0,,,,,,674442000.0,
6,TECH,BIO-TECHNE CORPORATION,2011-06-30,10-K,2011-08-29,77613000.0,112302000.0,163055000.0,,,37153398.0,586122000.0,617670000.0
7,TECH,BIO-TECHNE CORPORATION,2011-06-30,10-K,2012-08-29,77613000.0,112302000.0,163055000.0,,,37153398.0,586122000.0,617670000.0
8,TECH,BIO-TECHNE CORPORATION,2011-06-30,10-K,2013-08-29,77613000.0,112302000.0,163055000.0,,,,586122000.0,617670000.0
9,TECH,BIO-TECHNE CORPORATION,2011-06-30,10-K,2014-08-29,77613000.0,,,,,,586122000.0,
3,TECH,BIO-TECHNE CORPORATION,2010-06-30,10-K,2011-08-29,94139000.0,109776000.0,156328000.0,,,37033474.0,501792000.0,518816000.0
4,TECH,BIO-TECHNE CORPORATION,2010-06-30,10-K,2012-08-29,94139000.0,109776000.0,156328000.0,,,,501792000.0,518816000.0
5,TECH,BIO-TECHNE CORPORATION,2010-06-30,10-K,2013-08-29,94139000.0,,,,,,501792000.0,
1,TECH,BIO-TECHNE CORPORATION,2009-06-30,10-K,2011-08-29,160940000.0,105242000.0,150780000.0,,,,456482000.0,472005000.0
2,TECH,BIO-TECHNE CORPORATION,2009-06-30,10-K,2012-08-29,160940000.0,,,,,,456482000.0,
0,TECH,BIO-TECHNE CORPORATION,2008-06-30,10-K,2011-08-29,166992000.0,,,,,,487130000.0,
