,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
33,CNP,"CENTERPOINT ENERGY, INC.",2013-03-31,10-K,2014-02-26,,,147000000.0,332000000.0,2388000000.0,,,,
34,CNP,"CENTERPOINT ENERGY, INC.",2013-03-31,10-K,2015-02-26,,,147000000.0,332000000.0,2388000000.0,,,,
29,CNP,"CENTERPOINT ENERGY, INC.",2012-12-31,10-K,2013-02-27,646000000.0,,134000000.0,310000000.0,2138000000.0,,,4301000000.0,22871000000.0
30,CNP,"CENTERPOINT ENERGY, INC.",2012-12-31,10-K,2014-02-26,646000000.0,,134000000.0,310000000.0,2138000000.0,,,4301000000.0,22871000000.0
31,CNP,"CENTERPOINT ENERGY, INC.",2012-12-31,10-K,2015-02-26,646000000.0,,417000000.0,1038000000.0,7452000000.0,,,4301000000.0,22871000000.0
32,CNP,"CENTERPOINT ENERGY, INC.",2012-12-31,10-K,2016-02-26,646000000.0,,,,,,,,
27,CNP,"CENTERPOINT ENERGY, INC.",2012-09-30,10-K,2013-02-27,,,10000000.0,88000000.0,1705000000.0,,,,
28,CNP,"CENTERPOINT ENERGY, INC.",2012-09-30,10-K,2014-02-26,,,10000000.0,88000000.0,1705000000.0,,,,
25,CNP,"CENTERPOINT ENERGY, INC.",2012-06-30,10-K,2013-02-27,,,126000000.0,302000000.0,1525000000.0,,,,
26,CNP,"CENTERPOINT ENERGY, INC.",2012-06-30,10-K,2014-02-26,,,126000000.0,302000000.0,1525000000.0,,,,
23,CNP,"CENTERPOINT ENERGY, INC.",2012-03-31,10-K,2013-02-27,,,147000000.0,338000000.0,2084000000.0,,,,
24,CNP,"CENTERPOINT ENERGY, INC.",2012-03-31,10-K,2014-02-26,,,147000000.0,338000000.0,2084000000.0,,,,
19,CNP,"CENTERPOINT ENERGY, INC.",2011-12-31,10-K,2012-02-29,220000000.0,,117000000.0,274000000.0,2145000000.0,,,4222000000.0,21703000000.0
20,CNP,"CENTERPOINT ENERGY, INC.",2011-12-31,10-K,2013-02-27,220000000.0,,117000000.0,274000000.0,2145000000.0,,,4222000000.0,21703000000.0
21,CNP,"CENTERPOINT ENERGY, INC.",2011-12-31,10-K,2014-02-26,220000000.0,,1357000000.0,1298000000.0,8450000000.0,,,4222000000.0,21703000000.0
22,CNP,"CENTERPOINT ENERGY, INC.",2011-12-31,10-K,2015-02-26,220000000.0,,,,,,,,
17,CNP,"CENTERPOINT ENERGY, INC.",2011-09-30,10-K,2012-02-29,,,973000000.0,357000000.0,1881000000.0,,,,
18,CNP,"CENTERPOINT ENERGY, INC.",2011-09-30,10-K,2013-02-27,,,973000000.0,357000000.0,1881000000.0,,,,
15,CNP,"CENTERPOINT ENERGY, INC.",2011-06-30,10-K,2012-02-29,,,119000000.0,303000000.0,1837000000.0,,,,
16,CNP,"CENTERPOINT ENERGY, INC.",2011-06-30,10-K,2013-02-27,,,119000000.0,303000000.0,1837000000.0,,,,
13,CNP,"CENTERPOINT ENERGY, INC.",2011-03-31,10-K,2012-02-29,,,148000000.0,364000000.0,2587000000.0,,,,
14,CNP,"CENTERPOINT ENERGY, INC.",2011-03-31,10-K,2013-02-27,,,148000000.0,364000000.0,2587000000.0,,,,
10,CNP,"CENTERPOINT ENERGY, INC.",2010-12-31,10-K,2012-02-29,199000000.0,,124000000.0,302000000.0,2098000000.0,,,3198000000.0,20111000000.0
11,CNP,"CENTERPOINT ENERGY, INC.",2010-12-31,10-K,2013-02-27,199000000.0,,442000000.0,1249000000.0,8785000000.0,,,3198000000.0,20111000000.0
12,CNP,"CENTERPOINT ENERGY, INC.",2010-12-31,10-K,2014-02-26,199000000.0,,,,,,,,
9,CNP,"CENTERPOINT ENERGY, INC.",2010-09-30,10-K,2012-02-29,,,123000000.0,327000000.0,1908000000.0,,,,
8,CNP,"CENTERPOINT ENERGY, INC.",2010-06-30,10-K,2012-02-29,,,81000000.0,263000000.0,1756000000.0,,,,
7,CNP,"CENTERPOINT ENERGY, INC.",2010-03-31,10-K,2012-02-29,,,114000000.0,357000000.0,3023000000.0,,,,
4,CNP,"CENTERPOINT ENERGY, INC.",2009-12-31,10-K,2010-02-26,740000000.0,,372000000.0,1124000000.0,8281000000.0,,,2639000000.0,19773000000.0
5,CNP,"CENTERPOINT ENERGY, INC.",2009-12-31,10-K,2012-02-29,740000000.0,,372000000.0,1124000000.0,8281000000.0,,,2639000000.0,19773000000.0
6,CNP,"CENTERPOINT ENERGY, INC.",2009-12-31,10-K,2013-02-27,740000000.0,,,,,,,,
2,CNP,"CENTERPOINT ENERGY, INC.",2008-12-31,10-K,2010-02-26,167000000.0,,446000000.0,1273000000.0,11322000000.0,,,2022000000.0,19676000000.0
3,CNP,"CENTERPOINT ENERGY, INC.",2008-12-31,10-K,2012-02-29,167000000.0,,,,,,,,
1,CNP,"CENTERPOINT ENERGY, INC.",2007-12-31,10-K,2010-02-26,129000000.0,,395000000.0,1185000000.0,9623000000.0,,,1811000000.0,
0,CNP,"CENTERPOINT ENERGY, INC.",2006-12-31,10-K,2010-02-26,127000000.0,,,,,,,,
