,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
75,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-12-31,10-K,2020-02-27,,,-6015000.0,91397000.0,9687222000.0,,,
71,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-09-30,10-K,2018-02-27,,,136393000.0,201347000.0,3559418000.0,,,
72,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-09-30,10-K,2019-02-28,,,136393000.0,201347000.0,3440308000.0,,,
69,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-06-30,10-K,2018-02-27,,,81478000.0,113433000.0,2818693000.0,,,
70,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-06-30,10-K,2019-02-28,,,81478000.0,113433000.0,2683585000.0,,,
67,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-03-31,10-K,2018-02-27,,,-32993000.0,-21366000.0,1413181000.0,,,
68,LYV,"LIVE NATION ENTERTAINMENT, INC.",2017-03-31,10-K,2019-02-28,,,-32993000.0,-21366000.0,1242879000.0,,,
64,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-12-31,10-K,2017-02-23,1526591000.0,,-101360000.0,-37215000.0,1797544000.0,204067825.0,1126016000.0,6764266000.0
65,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-12-31,10-K,2018-02-27,1526591000.0,,-101360000.0,-37215000.0,1797544000.0,204067825.0,1126016000.0,6764266000.0
66,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-12-31,10-K,2019-02-28,,,2942000.0,194940000.0,7826336000.0,,,
62,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-09-30,10-K,2017-02-23,,,111079000.0,191286000.0,3170416000.0,,,
63,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-09-30,10-K,2018-02-27,,,111079000.0,191286000.0,3170416000.0,,,
60,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-06-30,10-K,2017-02-23,,,37741000.0,74159000.0,2179258000.0,,,
61,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-06-30,10-K,2018-02-27,,,37741000.0,74159000.0,2179258000.0,,,
58,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-03-31,10-K,2017-02-23,,,-44518000.0,-33290000.0,1207716000.0,,,
59,LYV,"LIVE NATION ENTERTAINMENT, INC.",2016-03-31,10-K,2018-02-27,,,-44518000.0,-33290000.0,1207716000.0,,,
55,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-12-31,10-K,2016-02-25,1303125000.0,,-78334000.0,-40448000.0,1736725000.0,202483207.0,1236953000.0,6156241000.0
