,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
89,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-09-30,10-K,2017-11-16,3273600000.0,,468700000.0,455700000.0,,218346074.0,10086200000.0,18467200000.0,8281700000.0
90,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-09-30,10-K,2018-11-20,3273600000.0,,468700000.0,457400000.0,2203100000.0,218346074.0,10086200000.0,18467200000.0,8281700000.0
91,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-09-30,10-K,2019-11-26,,,3000400000.0,1440000000.0,8187600000.0,218346074.0,,,
92,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-09-30,10-K,2020-11-19,,,,,,218346074.0,,,
87,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-06-30,10-K,2017-11-16,,,101900000.0,252600000.0,,,,,
88,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-06-30,10-K,2018-11-20,,,101900000.0,258700000.0,2121900000.0,,,,
85,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-03-31,10-K,2017-11-16,,,2130000000.0,391200000.0,,,,,
86,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2017-03-31,10-K,2018-11-20,,,2130000000.0,395600000.0,1980100000.0,,,,
83,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-12-31,10-K,2017-11-16,,,299800000.0,328100000.0,,,,,
84,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-12-31,10-K,2018-11-20,,,299800000.0,328300000.0,1882500000.0,,,,
79,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-09-30,10-K,2016-11-21,1501300000.0,5289400000.0,394000000.0,547000000.0,,217350825.0,7079600000.0,18055300000.0,10841900000.0
80,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-09-30,10-K,2017-11-16,1293200000.0,,394000000.0,391000000.0,,217350825.0,7079600000.0,18028600000.0,10815200000.0
81,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-09-30,10-K,2018-11-20,1293200000.0,,631100000.0,1535100000.0,7503700000.0,217350825.0,,18028600000.0,
82,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-09-30,10-K,2019-11-26,,,,,,217350825.0,,,
77,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-06-30,10-K,2016-11-21,,,346800000.0,535100000.0,,,,,
78,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-06-30,10-K,2017-11-16,,,346800000.0,394600000.0,,,,,
75,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-03-31,10-K,2016-11-21,,,-473300000.0,513300000.0,,,,,
76,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2016-03-31,10-K,2017-11-16,,,-473300000.0,371600000.0,,,,,
73,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-12-31,10-K,2016-11-21,,,363600000.0,510600000.0,,,,,
74,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-12-31,10-K,2017-11-16,,,363600000.0,372500000.0,,,,,
