,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
46,EOG,"EOG RESOURCES, INC.",2015-03-31,10-K,2017-02-27,,-169748000.0,-172995000.0,2318538000.0,,,
41,EOG,"EOG RESOURCES, INC.",2014-12-31,10-K,2015-02-18,2087213000.0,444588000.0,1226652000.0,4645497000.0,,,34762687000.0
42,EOG,"EOG RESOURCES, INC.",2014-12-31,10-K,2016-02-25,2087213000.0,444588000.0,1226652000.0,4645497000.0,,,34762687000.0
43,EOG,"EOG RESOURCES, INC.",2014-12-31,10-K,2017-02-27,2087213000.0,2915487000.0,5241823000.0,18035340000.0,,,34758599000.0
44,EOG,"EOG RESOURCES, INC.",2014-12-31,10-K,2018-02-27,2087213000.0,,,,,,
39,EOG,"EOG RESOURCES, INC.",2014-09-30,10-K,2015-02-18,,1103618000.0,1786162000.0,5118616000.0,,,
40,EOG,"EOG RESOURCES, INC.",2014-09-30,10-K,2016-02-25,,1103618000.0,1786162000.0,5118616000.0,,,
37,EOG,"EOG RESOURCES, INC.",2014-06-30,10-K,2015-02-18,,706353000.0,1144730000.0,4187556000.0,,,
38,EOG,"EOG RESOURCES, INC.",2014-06-30,10-K,2016-02-25,,706353000.0,1144730000.0,4187556000.0,,,
35,EOG,"EOG RESOURCES, INC.",2014-03-31,10-K,2015-02-18,,660928000.0,1084279000.0,4083671000.0,,,
36,EOG,"EOG RESOURCES, INC.",2014-03-31,10-K,2016-02-25,,660928000.0,1084279000.0,4083671000.0,,,
31,EOG,"EOG RESOURCES, INC.",2013-12-31,10-K,2014-02-24,1318209000.0,580194000.0,980324000.0,3749023000.0,,,30574238000.0
32,EOG,"EOG RESOURCES, INC.",2013-12-31,10-K,2015-02-18,1318209000.0,580194000.0,980324000.0,3749023000.0,,,30574238000.0
33,EOG,"EOG RESOURCES, INC.",2013-12-31,10-K,2016-02-25,1318209000.0,2197109000.0,3675211000.0,14487118000.0,,,30574238000.0
34,EOG,"EOG RESOURCES, INC.",2013-12-31,10-K,2017-02-27,1318209000.0,,,,,,
29,EOG,"EOG RESOURCES, INC.",2013-09-30,10-K,2014-02-24,,462498000.0,769769000.0,3541396000.0,,,
30,EOG,"EOG RESOURCES, INC.",2013-09-30,10-K,2015-02-18,,462498000.0,769769000.0,3541396000.0,,,
27,EOG,"EOG RESOURCES, INC.",2013-06-30,10-K,2014-02-24,,659692000.0,1092044000.0,3840185000.0,,,
28,EOG,"EOG RESOURCES, INC.",2013-06-30,10-K,2015-02-18,,659692000.0,1092044000.0,3840185000.0,,,
25,EOG,"EOG RESOURCES, INC.",2013-03-31,10-K,2014-02-24,,494725000.0,833074000.0,3356514000.0,,,
26,EOG,"EOG RESOURCES, INC.",2013-03-31,10-K,2015-02-18,,494725000.0,833074000.0,3356514000.0,,,
21,EOG,"EOG RESOURCES, INC.",2012-12-31,10-K,2013-02-22,876435000.0,570279000.0,1479797000.0,11682636000.0,271632000.0,,27336578000.0
