,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
73,CMCSA,Comcast Corporation,2016-03-31,10-K,2018-01-31,,2134000000.0,4089000000.0,18790000000.0,,,
69,CMCSA,Comcast Corporation,2015-12-31,10-K,2016-02-05,2295000000.0,1971000000.0,4002000000.0,19245000000.0,,52269000000.0,166574000000.0
70,CMCSA,Comcast Corporation,2015-12-31,10-K,2017-02-03,2295000000.0,1971000000.0,4002000000.0,19245000000.0,,52269000000.0,166574000000.0
71,CMCSA,Comcast Corporation,2015-12-31,10-K,2018-01-31,2295000000.0,8163000000.0,15998000000.0,74510000000.0,,,
67,CMCSA,Comcast Corporation,2015-09-30,10-K,2016-02-05,,1996000000.0,4001000000.0,18669000000.0,,,
68,CMCSA,Comcast Corporation,2015-09-30,10-K,2017-02-03,,1996000000.0,4001000000.0,18669000000.0,,,
65,CMCSA,Comcast Corporation,2015-06-30,10-K,2016-02-05,,2137000000.0,4105000000.0,18743000000.0,,,
66,CMCSA,Comcast Corporation,2015-06-30,10-K,2017-02-03,,2137000000.0,4105000000.0,18743000000.0,,,
63,CMCSA,Comcast Corporation,2015-03-31,10-K,2016-02-05,,2059000000.0,3890000000.0,17853000000.0,,,
64,CMCSA,Comcast Corporation,2015-03-31,10-K,2017-02-03,,2059000000.0,3890000000.0,17853000000.0,,,
59,CMCSA,Comcast Corporation,2014-12-31,10-K,2015-02-27,3910000000.0,1925000000.0,3787000000.0,17732000000.0,,52711000000.0,159339000000.0
60,CMCSA,Comcast Corporation,2014-12-31,10-K,2016-02-05,3910000000.0,1925000000.0,3787000000.0,17732000000.0,,52711000000.0,159186000000.0
61,CMCSA,Comcast Corporation,2014-12-31,10-K,2017-02-03,3910000000.0,8380000000.0,14904000000.0,68775000000.0,,,
62,CMCSA,Comcast Corporation,2014-12-31,10-K,2018-01-31,3910000000.0,,,,,,
57,CMCSA,Comcast Corporation,2014-09-30,10-K,2015-02-27,,2592000000.0,3745000000.0,16791000000.0,,,
58,CMCSA,Comcast Corporation,2014-09-30,10-K,2016-02-05,,2592000000.0,3745000000.0,16791000000.0,,,
55,CMCSA,Comcast Corporation,2014-06-30,10-K,2015-02-27,,1992000000.0,3804000000.0,16844000000.0,,,
56,CMCSA,Comcast Corporation,2014-06-30,10-K,2016-02-05,,1992000000.0,3804000000.0,16844000000.0,,,
53,CMCSA,Comcast Corporation,2014-03-31,10-K,2015-02-27,,1871000000.0,3568000000.0,17408000000.0,,,
54,CMCSA,Comcast Corporation,2014-03-31,10-K,2016-02-05,,1871000000.0,3568000000.0,17408000000.0,,,
49,CMCSA,Comcast Corporation,2013-12-31,10-K,2014-02-12,1718000000.0,1913000000.0,3647000000.0,16926000000.0,,50694000000.0,158813000000.0
50,CMCSA,Comcast Corporation,2013-12-31,10-K,2015-02-27,1718000000.0,1913000000.0,3647000000.0,16926000000.0,,50694000000.0,158813000000.0
51,CMCSA,Comcast Corporation,2013-12-31,10-K,2016-02-05,1718000000.0,6816000000.0,13563000000.0,64657000000.0,,,
52,CMCSA,Comcast Corporation,2013-12-31,10-K,2017-02-03,1718000000.0,,,,,,
47,CMCSA,Comcast Corporation,2013-09-30,10-K,2014-02-12,,1732000000.0,3414000000.0,16151000000.0,,,
48,CMCSA,Comcast Corporation,2013-09-30,10-K,2015-02-27,,1732000000.0,3414000000.0,16151000000.0,,,
45,CMCSA,Comcast Corporation,2013-06-30,10-K,2014-02-12,,1734000000.0,3435000000.0,16270000000.0,,,
46,CMCSA,Comcast Corporation,2013-06-30,10-K,2015-02-27,,1734000000.0,3435000000.0,16270000000.0,,,
43,CMCSA,Comcast Corporation,2013-03-31,10-K,2014-02-12,,1437000000.0,3067000000.0,15310000000.0,,,
44,CMCSA,Comcast Corporation,2013-03-31,10-K,2015-02-27,,1437000000.0,3067000000.0,15310000000.0,,,
39,CMCSA,Comcast Corporation,2012-12-31,10-K,2013-02-21,10951000000.0,1518000000.0,3294000000.0,15937000000.0,,49356000000.0,164971000000.0
40,CMCSA,Comcast Corporation,2012-12-31,10-K,2014-02-12,10951000000.0,1518000000.0,3294000000.0,15937000000.0,,49356000000.0,164971000000.0
41,CMCSA,Comcast Corporation,2012-12-31,10-K,2015-02-27,10951000000.0,6203000000.0,12179000000.0,62570000000.0,,,
42,CMCSA,Comcast Corporation,2012-12-31,10-K,2016-02-05,10951000000.0,,,,,,
37,CMCSA,Comcast Corporation,2012-09-30,10-K,2013-02-21,,2113000000.0,3048000000.0,16544000000.0,,,
38,CMCSA,Comcast Corporation,2012-09-30,10-K,2014-02-12,,2113000000.0,3048000000.0,16544000000.0,,,
35,CMCSA,Comcast Corporation,2012-06-30,10-K,2013-02-21,,1348000000.0,3079000000.0,15211000000.0,,,
36,CMCSA,Comcast Corporation,2012-06-30,10-K,2014-02-12,,1348000000.0,3079000000.0,15211000000.0,,,
