,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
85,CAG,"Conagra Brands, Inc.",2018-05-27,10-K,2019-07-19,128000000.0,3540000000.0,69600000.0,1412500000.0,,1966200000.0,3676200000.0,10389500000.0,6632900000.0
86,CAG,"Conagra Brands, Inc.",2018-05-27,10-K,2020-07-24,,,808400000.0,1412500000.0,,7938300000.0,,,
82,CAG,"Conagra Brands, Inc.",2018-02-25,10-K,2018-07-20,,,362800000.0,,,,,,
83,CAG,"Conagra Brands, Inc.",2018-02-25,10-K,2019-07-19,,,362800000.0,,,1994500000.0,,,
80,CAG,"Conagra Brands, Inc.",2017-11-26,10-K,2018-07-20,,,223500000.0,,,,,,
81,CAG,"Conagra Brands, Inc.",2017-11-26,10-K,2019-07-19,,,223500000.0,,,2173400000.0,,,
78,CAG,"Conagra Brands, Inc.",2017-08-27,10-K,2018-07-20,,,152500000.0,,,,,,
79,CAG,"Conagra Brands, Inc.",2017-08-27,10-K,2019-07-19,,,152500000.0,,,1804200000.0,,,
75,CAG,"Conagra Brands, Inc.",2017-05-28,10-K,2017-07-21,251400000.0,2970000000.0,151300000.0,1238300000.0,,,3990800000.0,10096300000.0,6018500000.0
76,CAG,"Conagra Brands, Inc.",2017-05-28,10-K,2018-07-20,251400000.0,2970000000.0,151300000.0,1238300000.0,,,3990800000.0,10096300000.0,6018500000.0
77,CAG,"Conagra Brands, Inc.",2017-05-28,10-K,2019-07-19,,,639300000.0,1240000000.0,,7826900000.0,,,
73,CAG,"Conagra Brands, Inc.",2017-02-26,10-K,2017-07-21,,,179700000.0,,,,,,
74,CAG,"Conagra Brands, Inc.",2017-02-26,10-K,2018-07-20,,,179700000.0,,,,,,
71,CAG,"Conagra Brands, Inc.",2016-11-27,10-K,2017-07-21,,,122100000.0,,,,,,
72,CAG,"Conagra Brands, Inc.",2016-11-27,10-K,2018-07-20,,,122100000.0,,,,,,
69,CAG,"Conagra Brands, Inc.",2016-08-28,10-K,2017-07-21,,,186200000.0,,,,,,
70,CAG,"Conagra Brands, Inc.",2016-08-28,10-K,2018-07-20,,,186200000.0,,,,,,
66,CAG,"Conagra Brands, Inc.",2016-05-29,10-K,2016-07-15,,5500000000.0,117600000.0,1720800000.0,1500000000.0,,3713600000.0,13390600000.0,9595800000.0
67,CAG,"Conagra Brands, Inc.",2016-05-29,10-K,2017-07-21,798100000.0,5440000000.0,117600000.0,1223100000.0,,,3713600000.0,13390600000.0,9595800000.0
68,CAG,"Conagra Brands, Inc.",2016-05-29,10-K,2018-07-20,,,-677000000.0,1223100000.0,,,,,
64,CAG,"Conagra Brands, Inc.",2016-02-28,10-K,2016-07-15,,,204600000.0,,,,,,
65,CAG,"Conagra Brands, Inc.",2016-02-28,10-K,2017-07-21,,,204600000.0,,,,,,
62,CAG,"Conagra Brands, Inc.",2015-11-29,10-K,2016-07-15,,,154900000.0,,,,,,
63,CAG,"Conagra Brands, Inc.",2015-11-29,10-K,2017-07-21,,,154900000.0,,,,,,
60,CAG,"Conagra Brands, Inc.",2015-08-30,10-K,2016-07-15,,,-1154100000.0,,,,,,
61,CAG,"Conagra Brands, Inc.",2015-08-30,10-K,2017-07-21,,,-1154100000.0,,,,,,
57,CAG,"Conagra Brands, Inc.",2015-05-31,10-K,2015-07-17,183100000.0,7900000000.0,209200000.0,181500000.0,1900000000.0,,4526000000.0,17542200000.0,12932200000.0
58,CAG,"Conagra Brands, Inc.",2015-05-31,10-K,2016-07-15,,7900000000.0,209200000.0,1634200000.0,1600000000.0,,4526000000.0,17437800000.0,12827800000.0
59,CAG,"Conagra Brands, Inc.",2015-05-31,10-K,2017-07-21,,,-252600000.0,1209400000.0,,,,,
55,CAG,"Conagra Brands, Inc.",2015-02-22,10-K,2015-07-17,,,-954100000.0,,,,,,
56,CAG,"Conagra Brands, Inc.",2015-02-22,10-K,2016-07-15,,,-954100000.0,,,,,,
53,CAG,"Conagra Brands, Inc.",2014-11-23,10-K,2015-07-17,,,10000000.0,,,,,,
54,CAG,"Conagra Brands, Inc.",2014-11-23,10-K,2016-07-15,,,10000000.0,,,,,,
51,CAG,"Conagra Brands, Inc.",2014-08-24,10-K,2015-07-17,,,482300000.0,,,,,,
52,CAG,"Conagra Brands, Inc.",2014-08-24,10-K,2016-07-15,,,482300000.0,,,,,,
48,CAG,"Conagra Brands, Inc.",2014-05-25,10-K,2014-07-16,183100000.0,8900000000.0,-324200000.0,1299000000.0,2200000000.0,,5258500000.0,19366400000.0,14011200000.0
49,CAG,"Conagra Brands, Inc.",2014-05-25,10-K,2015-07-17,141300000.0,8900000000.0,-324200000.0,1056300000.0,2000000000.0,,5258500000.0,19319500000.0,13964300000.0
50,CAG,"Conagra Brands, Inc.",2014-05-25,10-K,2016-07-15,,,303100000.0,1434000000.0,1700000000.0,,,19241500000.0,
46,CAG,"Conagra Brands, Inc.",2014-02-23,10-K,2014-07-16,,,234300000.0,,,,,,
47,CAG,"Conagra Brands, Inc.",2014-02-23,10-K,2015-07-17,,,234300000.0,,,,,,
44,CAG,"Conagra Brands, Inc.",2013-11-24,10-K,2014-07-16,,,248700000.0,,,,,,
45,CAG,"Conagra Brands, Inc.",2013-11-24,10-K,2015-07-17,,,248700000.0,,,,,,
42,CAG,"Conagra Brands, Inc.",2013-08-25,10-K,2014-07-16,,,144300000.0,,,,,,
43,CAG,"Conagra Brands, Inc.",2013-08-25,10-K,2015-07-17,,,144300000.0,,,,,,
39,CAG,"Conagra Brands, Inc.",2013-05-26,10-K,2013-07-19,183900000.0,9400000000.0,192200000.0,1840700000.0,,,5264400000.0,20405300000.0,15042300000.0
40,CAG,"Conagra Brands, Inc.",2013-05-26,10-K,2014-07-16,183900000.0,9400000000.0,192200000.0,1854600000.0,1900000000.0,,5264400000.0,20405300000.0,15042300000.0
41,CAG,"Conagra Brands, Inc.",2013-05-26,10-K,2015-07-17,150900000.0,,773900000.0,1695300000.0,1700000000.0,,,20349800000.0,
