,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
82,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-06-30,10-K,2018-02-23,,,,744700000.0,3576500000.0,,,,
83,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-06-30,10-K,2019-02-21,,,,733300000.0,3576500000.0,,,,
80,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-03-31,10-K,2018-02-23,,,,1097100000.0,3933300000.0,,,,
81,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2017-03-31,10-K,2019-02-21,,,,1085700000.0,3933300000.0,,,,
77,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-12-31,10-K,2017-02-28,210500000.0,20256400000.0,,575900000.0,3790100000.0,,17397000000.0,63467700000.0,46047600000.0
78,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-12-31,10-K,2018-02-23,210500000.0,20256400000.0,,575900000.0,3790100000.0,,17397000000.0,63467700000.0,46047600000.0
79,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-12-31,10-K,2019-02-21,,,,1163900000.0,16380100000.0,,,63467700000.0,
75,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-09-30,10-K,2017-02-28,,,,-1127900000.0,4652200000.0,,,,
76,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-09-30,10-K,2018-02-23,,,,-1127900000.0,4652200000.0,,,,
73,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-06-30,10-K,2017-02-28,,,,866200000.0,3892900000.0,,,,
74,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-06-30,10-K,2018-02-23,,,,866200000.0,3892900000.0,,,,
71,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-03-31,10-K,2017-02-28,,,,892900000.0,4044900000.0,,,,
72,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2016-03-31,10-K,2018-02-23,,,,892900000.0,4044900000.0,,,,
68,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-12-31,10-K,2016-02-24,176400000.0,19572700000.0,,466400000.0,3614700000.0,,17891700000.0,61683100000.0,43778200000.0
69,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-12-31,10-K,2017-02-28,176400000.0,19572700000.0,,466400000.0,3614700000.0,,17891700000.0,61683100000.0,43778200000.0
70,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-12-31,10-K,2018-02-23,,,,3333500000.0,16453200000.0,,,61683100000.0,
