,ticker,company,end_date,form,filed,cash,eps_basic,eps_diluted,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
88,AME,"AMETEK, Inc.",2017-09-30,10-K,2018-02-22,,,,,153531000.0,232831000.0,,,,,
89,AME,"AMETEK, Inc.",2017-09-30,10-K,2019-02-21,,,,,153531000.0,230038000.0,,,,,
86,AME,"AMETEK, Inc.",2017-06-30,10-K,2018-02-22,,,,,150481000.0,232385000.0,,,,,
87,AME,"AMETEK, Inc.",2017-06-30,10-K,2019-02-21,,,,,150481000.0,229549000.0,,,,,
84,AME,"AMETEK, Inc.",2017-03-31,10-K,2018-02-22,,,,,138926000.0,220298000.0,,,,,
85,AME,"AMETEK, Inc.",2017-03-31,10-K,2019-02-21,,,,,138926000.0,217447000.0,,,,,
80,AME,"AMETEK, Inc.",2016-12-31,10-K,2017-02-23,717259000.0,,,2341565000.0,109108000.0,173222000.0,,229400000.0,3256513000.0,7100674000.0,3844161000.0
81,AME,"AMETEK, Inc.",2016-12-31,10-K,2018-02-22,717259000.0,,,2341565000.0,109108000.0,173222000.0,,229400000.0,3256513000.0,7100674000.0,3844161000.0
82,AME,"AMETEK, Inc.",2016-12-31,10-K,2019-02-21,717259000.0,,,,512158000.0,790979000.0,,,3256513000.0,,
83,AME,"AMETEK, Inc.",2016-12-31,10-K,2020-02-20,717259000.0,,,,,,,,,,
78,AME,"AMETEK, Inc.",2016-09-30,10-K,2017-02-23,,,,,130687000.0,201116000.0,,,,,
79,AME,"AMETEK, Inc.",2016-09-30,10-K,2018-02-22,,,,,130687000.0,201116000.0,,,,,
76,AME,"AMETEK, Inc.",2016-06-30,10-K,2017-02-23,,,,,138193000.0,219036000.0,,,,,
77,AME,"AMETEK, Inc.",2016-06-30,10-K,2018-02-22,,,,,138193000.0,219036000.0,,,,,
74,AME,"AMETEK, Inc.",2016-03-31,10-K,2017-02-23,,,,,134170000.0,208523000.0,,,,,
75,AME,"AMETEK, Inc.",2016-03-31,10-K,2018-02-22,,,,,134170000.0,208523000.0,,,,,
70,AME,"AMETEK, Inc.",2015-12-31,10-K,2016-02-25,381005000.0,,,1942120000.0,136841000.0,208830000.0,,235500000.0,3254626000.0,6664530000.0,3409904000.0
71,AME,"AMETEK, Inc.",2015-12-31,10-K,2017-02-23,381005000.0,,,1938040000.0,136841000.0,208830000.0,,235500000.0,3254626000.0,6660450000.0,3405824000.0
72,AME,"AMETEK, Inc.",2015-12-31,10-K,2018-02-22,381005000.0,,,,590859000.0,907716000.0,,,3254626000.0,,
73,AME,"AMETEK, Inc.",2015-12-31,10-K,2019-02-21,381005000.0,,,,,,,,,,
68,AME,"AMETEK, Inc.",2015-09-30,10-K,2016-02-25,,,,,156398000.0,237615000.0,,,,,
69,AME,"AMETEK, Inc.",2015-09-30,10-K,2017-02-23,,,,,156398000.0,237615000.0,,,,,
