,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
29,ALGN,"ALIGN TECHNOLOGY, INC.",2015-12-31,10-K,2017-02-28,167714000.0,144020000.0,188634000.0,,,79500000.0,847926000.0,1158633000.0,310707000.0
30,ALGN,"ALIGN TECHNOLOGY, INC.",2015-12-31,10-K,2018-02-28,167714000.0,144020000.0,188634000.0,,,,847926000.0,,
31,ALGN,"ALIGN TECHNOLOGY, INC.",2015-12-31,10-K,2019-02-28,,,,,,,847926000.0,,
24,ALGN,"ALIGN TECHNOLOGY, INC.",2014-12-31,10-K,2015-02-26,199871000.0,145832000.0,193576000.0,,,80205000.0,752771000.0,987997000.0,235226000.0
25,ALGN,"ALIGN TECHNOLOGY, INC.",2014-12-31,10-K,2016-02-25,199871000.0,145832000.0,193576000.0,,,80205000.0,752771000.0,987997000.0,235226000.0
26,ALGN,"ALIGN TECHNOLOGY, INC.",2014-12-31,10-K,2017-02-28,199871000.0,145832000.0,193576000.0,,,,752771000.0,,
27,ALGN,"ALIGN TECHNOLOGY, INC.",2014-12-31,10-K,2018-02-28,199871000.0,,,,,,752771000.0,,
20,ALGN,"ALIGN TECHNOLOGY, INC.",2013-12-31,10-K,2014-02-28,242953000.0,64295000.0,94212000.0,,,80583000.0,633970000.0,832147000.0,198177000.0
21,ALGN,"ALIGN TECHNOLOGY, INC.",2013-12-31,10-K,2015-02-26,242953000.0,64295000.0,94212000.0,,,80583000.0,633970000.0,832147000.0,198177000.0
22,ALGN,"ALIGN TECHNOLOGY, INC.",2013-12-31,10-K,2016-02-25,242953000.0,64295000.0,94212000.0,,,,633970000.0,,
23,ALGN,"ALIGN TECHNOLOGY, INC.",2013-12-31,10-K,2017-02-28,242953000.0,,,,,,633970000.0,,
16,ALGN,"ALIGN TECHNOLOGY, INC.",2012-12-31,10-K,2013-03-01,306386000.0,58691000.0,85592000.0,,,80611000.0,581317000.0,756312000.0,174995000.0
17,ALGN,"ALIGN TECHNOLOGY, INC.",2012-12-31,10-K,2014-02-28,306386000.0,58691000.0,85592000.0,,,80611000.0,581317000.0,756312000.0,174995000.0
18,ALGN,"ALIGN TECHNOLOGY, INC.",2012-12-31,10-K,2015-02-26,306386000.0,58691000.0,85592000.0,,,,581317000.0,,
19,ALGN,"ALIGN TECHNOLOGY, INC.",2012-12-31,10-K,2016-02-25,,,,,,,581317000.0,,
11,ALGN,"ALIGN TECHNOLOGY, INC.",2011-12-31,10-K,2012-02-29,240675000.0,66716000.0,90360000.0,,,78776000.0,490781000.0,649264000.0,158483000.0
12,ALGN,"ALIGN TECHNOLOGY, INC.",2011-12-31,10-K,2013-03-01,240675000.0,66716000.0,90360000.0,,,78776000.0,490781000.0,649264000.0,158483000.0
13,ALGN,"ALIGN TECHNOLOGY, INC.",2011-12-31,10-K,2014-02-28,240675000.0,66716000.0,90360000.0,,,,490781000.0,,
14,ALGN,"ALIGN TECHNOLOGY, INC.",2011-12-31,10-K,2015-02-26,240675000.0,,,,,,490781000.0,,
15,ALGN,"ALIGN TECHNOLOGY, INC.",2011-12-31,10-K,2016-02-25,306386000.0,,,,,,,,
7,ALGN,"ALIGN TECHNOLOGY, INC.",2010-12-31,10-K,2011-02-24,294664000.0,74253000.0,102734000.0,387126000.0,,76390000.0,377747000.0,476943000.0,99196000.0
8,ALGN,"ALIGN TECHNOLOGY, INC.",2010-12-31,10-K,2012-02-29,294664000.0,74253000.0,102734000.0,,,76390000.0,377747000.0,476943000.0,99196000.0
9,ALGN,"ALIGN TECHNOLOGY, INC.",2010-12-31,10-K,2013-03-01,294664000.0,74253000.0,102734000.0,,,,377747000.0,,
10,ALGN,"ALIGN TECHNOLOGY, INC.",2010-12-31,10-K,2014-02-28,294664000.0,,,,,,,,
3,ALGN,"ALIGN TECHNOLOGY, INC.",2009-12-31,10-K,2011-02-24,166487000.0,-31269000.0,-34012000.0,312333000.0,,74568000.0,273036000.0,355240000.0,82204000.0
4,ALGN,"ALIGN TECHNOLOGY, INC.",2009-12-31,10-K,2012-02-29,166487000.0,-31269000.0,-34012000.0,,,,273036000.0,355240000.0,
5,ALGN,"ALIGN TECHNOLOGY, INC.",2009-12-31,10-K,2013-03-01,166487000.0,,,,,,273036000.0,,
6,ALGN,"ALIGN TECHNOLOGY, INC.",2009-12-31,10-K,2014-02-28,,,,,,,377747000.0,,
1,ALGN,"ALIGN TECHNOLOGY, INC.",2008-12-31,10-K,2011-02-24,87100000.0,79987000.0,15514000.0,303976000.0,,,218540000.0,,
2,ALGN,"ALIGN TECHNOLOGY, INC.",2008-12-31,10-K,2012-02-29,87100000.0,,,,,,218540000.0,,
0,ALGN,"ALIGN TECHNOLOGY, INC.",2007-12-31,10-K,2011-02-24,89119000.0,,,,,,161154000.0,,
