,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,total_assets
20,ADM,ARCHER-DANIELS-MIDLAND CO,2010-09-30,10-K,2012-08-27,,,345000000.0,16799000000.0,,
15,ADM,ARCHER-DANIELS-MIDLAND CO,2010-06-30,10-K,2010-08-30,1046000000.0,7174000000.0,446000000.0,15703000000.0,,31548000000.0
16,ADM,ARCHER-DANIELS-MIDLAND CO,2010-06-30,10-K,2011-08-25,1046000000.0,7174000000.0,446000000.0,15703000000.0,,31808000000.0
17,ADM,ARCHER-DANIELS-MIDLAND CO,2010-06-30,10-K,2012-08-27,1046000000.0,,1930000000.0,61682000000.0,,
18,ADM,ARCHER-DANIELS-MIDLAND CO,2010-06-30,10-K,2014-02-26,1046000000.0,,,,,
13,ADM,ARCHER-DANIELS-MIDLAND CO,2010-03-31,10-K,2010-08-30,,,421000000.0,15145000000.0,,
14,ADM,ARCHER-DANIELS-MIDLAND CO,2010-03-31,10-K,2011-08-25,,,421000000.0,15145000000.0,,
11,ADM,ARCHER-DANIELS-MIDLAND CO,2009-12-31,10-K,2010-08-30,,,567000000.0,15913000000.0,,
12,ADM,ARCHER-DANIELS-MIDLAND CO,2009-12-31,10-K,2011-08-25,,,567000000.0,15913000000.0,,
9,ADM,ARCHER-DANIELS-MIDLAND CO,2009-09-30,10-K,2010-08-30,,,496000000.0,14921000000.0,,
10,ADM,ARCHER-DANIELS-MIDLAND CO,2009-09-30,10-K,2011-08-25,,,496000000.0,14921000000.0,,
6,ADM,ARCHER-DANIELS-MIDLAND CO,2009-06-30,10-K,2010-08-30,1055000000.0,7640000000.0,58000000.0,16532000000.0,,31582000000.0
7,ADM,ARCHER-DANIELS-MIDLAND CO,2009-06-30,10-K,2011-08-25,1055000000.0,,1684000000.0,69207000000.0,,
8,ADM,ARCHER-DANIELS-MIDLAND CO,2009-06-30,10-K,2012-08-27,1055000000.0,,,,,
5,ADM,ARCHER-DANIELS-MIDLAND CO,2009-03-31,10-K,2010-08-30,,,3000000.0,14842000000.0,,
4,ADM,ARCHER-DANIELS-MIDLAND CO,2008-12-31,10-K,2010-08-30,,,578000000.0,16673000000.0,,
3,ADM,ARCHER-DANIELS-MIDLAND CO,2008-09-30,10-K,2010-08-30,,,1045000000.0,21160000000.0,,
1,ADM,ARCHER-DANIELS-MIDLAND CO,2008-06-30,10-K,2010-08-30,810000000.0,,1780000000.0,69816000000.0,,
2,ADM,ARCHER-DANIELS-MIDLAND CO,2008-06-30,10-K,2011-08-25,810000000.0,,,,,
0,ADM,ARCHER-DANIELS-MIDLAND CO,2007-06-30,10-K,2010-08-30,663000000.0,,,,,
