,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
36,EXE,EXPAND ENERGY CORPORATION,2013-12-31,10-K,2016-02-25,837000000.0,,724000000.0,2069000000.0,19080000000.0,,,41782000000.0,
37,EXE,EXPAND ENERGY CORPORATION,2013-12-31,10-K,2017-03-03,837000000.0,,,,,,,,
30,EXE,EXPAND ENERGY CORPORATION,2012-12-31,10-K,2013-03-01,287000000.0,12620000000.0,-769000000.0,-1694000000.0,12316000000.0,,15569000000.0,41611000000.0,
31,EXE,EXPAND ENERGY CORPORATION,2012-12-31,10-K,2014-02-27,287000000.0,,-769000000.0,-1694000000.0,12316000000.0,,15569000000.0,41611000000.0,
32,EXE,EXPAND ENERGY CORPORATION,2012-12-31,10-K,2015-02-27,287000000.0,,-769000000.0,-1694000000.0,12316000000.0,,,41611000000.0,
33,EXE,EXPAND ENERGY CORPORATION,2012-12-31,10-K,2016-02-25,287000000.0,,,,,,,,
26,EXE,EXPAND ENERGY CORPORATION,2011-12-31,10-K,2012-02-29,351000000.0,,472000000.0,2921000000.0,2728000000.0,,16624000000.0,41835000000.0,
27,EXE,EXPAND ENERGY CORPORATION,2011-12-31,10-K,2013-03-01,351000000.0,10626000000.0,1742000000.0,2921000000.0,11635000000.0,,16624000000.0,41835000000.0,
28,EXE,EXPAND ENERGY CORPORATION,2011-12-31,10-K,2014-02-27,351000000.0,,1742000000.0,2921000000.0,11635000000.0,,,,
29,EXE,EXPAND ENERGY CORPORATION,2011-12-31,10-K,2015-02-27,351000000.0,,,,,,,,
25,EXE,EXPAND ENERGY CORPORATION,2011-09-30,10-K,2012-02-29,,,922000000.0,,3977000000.0,,,,
24,EXE,EXPAND ENERGY CORPORATION,2011-06-30,10-K,2012-02-29,,,510000000.0,,3318000000.0,,,,
23,EXE,EXPAND ENERGY CORPORATION,2011-03-31,10-K,2012-02-29,,,-162000000.0,,1612000000.0,,,,
19,EXE,EXPAND ENERGY CORPORATION,2010-12-31,10-K,2011-03-01,102000000.0,,223000000.0,2805000000.0,1975000000.0,,15264000000.0,37179000000.0,
20,EXE,EXPAND ENERGY CORPORATION,2010-12-31,10-K,2012-02-29,102000000.0,,223000000.0,2805000000.0,1975000000.0,,15264000000.0,37179000000.0,
21,EXE,EXPAND ENERGY CORPORATION,2010-12-31,10-K,2013-03-01,102000000.0,,1774000000.0,2805000000.0,9366000000.0,,,,
22,EXE,EXPAND ENERGY CORPORATION,2010-12-31,10-K,2014-02-27,102000000.0,,,,,,,,
17,EXE,EXPAND ENERGY CORPORATION,2010-09-30,10-K,2011-03-01,,,558000000.0,,2581000000.0,,,,
18,EXE,EXPAND ENERGY CORPORATION,2010-09-30,10-K,2012-02-29,,,558000000.0,,2581000000.0,,,,
