,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
12,AVB,"AVALONBAY COMMUNITIES, INC.",2009-12-31,10-K,2013-02-22,103672000.0,,,,,,,,,
8,AVB,"AVALONBAY COMMUNITIES, INC.",2009-09-30,10-K,2011-02-23,,,,,215043000.0,,,,,
7,AVB,"AVALONBAY COMMUNITIES, INC.",2009-06-30,10-K,2011-02-23,,,,,212149000.0,,,,,
6,AVB,"AVALONBAY COMMUNITIES, INC.",2009-03-31,10-K,2011-02-23,,,,,209623000.0,,,,,
3,AVB,"AVALONBAY COMMUNITIES, INC.",2008-12-31,10-K,2010-03-01,64935000.0,,411487000.0,,814224000.0,,,2916115000.0,7174353000.0,4248004000.0
4,AVB,"AVALONBAY COMMUNITIES, INC.",2008-12-31,10-K,2011-02-23,64935000.0,,411487000.0,,813764000.0,,,2916115000.0,,
5,AVB,"AVALONBAY COMMUNITIES, INC.",2008-12-31,10-K,2012-02-27,64935000.0,,,,,,,,,
1,AVB,"AVALONBAY COMMUNITIES, INC.",2007-12-31,10-K,2010-03-01,20271000.0,,358160000.0,,727786000.0,,,3025721000.0,,
2,AVB,"AVALONBAY COMMUNITIES, INC.",2007-12-31,10-K,2011-02-23,20271000.0,,,,,,,3025721000.0,,
0,AVB,"AVALONBAY COMMUNITIES, INC.",2006-12-31,10-K,2010-03-01,8284000.0,,,,,,,2569923000.0,,
