,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
51,AJG,ARTHUR J. GALLAGHER & CO.,2014-12-31,10-K,2017-02-13,314400000.0,,303400000.0,4626500000.0,,,,10010000000.0,
47,AJG,ARTHUR J. GALLAGHER & CO.,2014-09-30,10-K,2015-02-13,,,93600000.0,1286800000.0,,,,,
48,AJG,ARTHUR J. GALLAGHER & CO.,2014-09-30,10-K,2016-02-10,,,93600000.0,1286800000.0,,,,,
45,AJG,ARTHUR J. GALLAGHER & CO.,2014-06-30,10-K,2015-02-13,,,109000000.0,1179300000.0,,,,,
46,AJG,ARTHUR J. GALLAGHER & CO.,2014-06-30,10-K,2016-02-10,,,109000000.0,1179300000.0,,,,,
43,AJG,ARTHUR J. GALLAGHER & CO.,2014-03-31,10-K,2015-02-13,,,49300000.0,915000000.0,,,,,
44,AJG,ARTHUR J. GALLAGHER & CO.,2014-03-31,10-K,2016-02-10,,,49300000.0,915000000.0,,,,,
39,AJG,ARTHUR J. GALLAGHER & CO.,2013-12-31,10-K,2014-02-07,298100000.0,36500000.0,60000000.0,890200000.0,,133600000.0,2085500000.0,6860500000.0,4775000000.0
40,AJG,ARTHUR J. GALLAGHER & CO.,2013-12-31,10-K,2015-02-13,298100000.0,,60000000.0,890200000.0,,133600000.0,2085500000.0,6860500000.0,4775000000.0
41,AJG,ARTHUR J. GALLAGHER & CO.,2013-12-31,10-K,2016-02-10,298100000.0,,268600000.0,3179600000.0,,,,6860500000.0,
42,AJG,ARTHUR J. GALLAGHER & CO.,2013-12-31,10-K,2017-02-13,298100000.0,,,,,,,,
37,AJG,ARTHUR J. GALLAGHER & CO.,2013-09-30,10-K,2014-02-07,,,74600000.0,835800000.0,,,,,
38,AJG,ARTHUR J. GALLAGHER & CO.,2013-09-30,10-K,2015-02-13,,,74600000.0,835800000.0,,,,,
35,AJG,ARTHUR J. GALLAGHER & CO.,2013-06-30,10-K,2014-02-07,,,93500000.0,779500000.0,,,,,
36,AJG,ARTHUR J. GALLAGHER & CO.,2013-06-30,10-K,2015-02-13,,,93500000.0,779500000.0,,,,,
33,AJG,ARTHUR J. GALLAGHER & CO.,2013-03-31,10-K,2014-02-07,,,40500000.0,674100000.0,,,,,
34,AJG,ARTHUR J. GALLAGHER & CO.,2013-03-31,10-K,2015-02-13,,,40500000.0,674100000.0,,,,,
29,AJG,ARTHUR J. GALLAGHER & CO.,2012-12-31,10-K,2013-02-08,302100000.0,32400000.0,33500000.0,673200000.0,,125600000.0,1658600000.0,5352300000.0,3693700000.0
30,AJG,ARTHUR J. GALLAGHER & CO.,2012-12-31,10-K,2014-02-07,302100000.0,,33500000.0,673200000.0,,125600000.0,1658600000.0,5352300000.0,3693700000.0
31,AJG,ARTHUR J. GALLAGHER & CO.,2012-12-31,10-K,2015-02-13,302100000.0,,195000000.0,2520300000.0,,,1658600000.0,5352300000.0,
32,AJG,ARTHUR J. GALLAGHER & CO.,2012-12-31,10-K,2016-02-10,302100000.0,,,,,,,,
27,AJG,ARTHUR J. GALLAGHER & CO.,2012-09-30,10-K,2013-02-08,,,61700000.0,650400000.0,,,,,
28,AJG,ARTHUR J. GALLAGHER & CO.,2012-09-30,10-K,2014-02-07,,,61700000.0,650400000.0,,,,,
25,AJG,ARTHUR J. GALLAGHER & CO.,2012-06-30,10-K,2013-02-08,,,71700000.0,649900000.0,,,,,
26,AJG,ARTHUR J. GALLAGHER & CO.,2012-06-30,10-K,2014-02-07,,,71700000.0,649900000.0,,,,,
23,AJG,ARTHUR J. GALLAGHER & CO.,2012-03-31,10-K,2013-02-08,,,28100000.0,546800000.0,,,,,
24,AJG,ARTHUR J. GALLAGHER & CO.,2012-03-31,10-K,2014-02-07,,,28100000.0,546800000.0,,,,,
19,AJG,ARTHUR J. GALLAGHER & CO.,2011-12-31,10-K,2012-02-14,291200000.0,17400000.0,40500000.0,578400000.0,,114700000.0,1243600000.0,4483500000.0,3239900000.0
20,AJG,ARTHUR J. GALLAGHER & CO.,2011-12-31,10-K,2013-02-08,291200000.0,,40500000.0,578400000.0,,114700000.0,1243600000.0,4483500000.0,3239900000.0
21,AJG,ARTHUR J. GALLAGHER & CO.,2011-12-31,10-K,2014-02-07,291200000.0,,144100000.0,2134700000.0,,,1243600000.0,4483500000.0,
22,AJG,ARTHUR J. GALLAGHER & CO.,2011-12-31,10-K,2015-02-13,291200000.0,,,,,,1243600000.0,,
17,AJG,ARTHUR J. GALLAGHER & CO.,2011-09-30,10-K,2012-02-14,,,46700000.0,562800000.0,,,,,
18,AJG,ARTHUR J. GALLAGHER & CO.,2011-09-30,10-K,2013-02-08,,,46700000.0,562800000.0,,,,,
15,AJG,ARTHUR J. GALLAGHER & CO.,2011-06-30,10-K,2012-02-14,,,41700000.0,546100000.0,,,,,
16,AJG,ARTHUR J. GALLAGHER & CO.,2011-06-30,10-K,2013-02-08,,,41700000.0,546100000.0,,,,,
13,AJG,ARTHUR J. GALLAGHER & CO.,2011-03-31,10-K,2012-02-14,,,15200000.0,447400000.0,,,,,
14,AJG,ARTHUR J. GALLAGHER & CO.,2011-03-31,10-K,2013-02-08,,,15200000.0,447400000.0,,,,,
9,AJG,ARTHUR J. GALLAGHER & CO.,2010-12-31,10-K,2011-02-07,249800000.0,,174100000.0,1864200000.0,,108400000.0,1106700000.0,3596000000.0,2489300000.0
10,AJG,ARTHUR J. GALLAGHER & CO.,2010-12-31,10-K,2012-02-14,249800000.0,,54700000.0,459100000.0,,108400000.0,1106700000.0,3596000000.0,2489300000.0
11,AJG,ARTHUR J. GALLAGHER & CO.,2010-12-31,10-K,2013-02-08,249800000.0,,174100000.0,1864200000.0,,,1106700000.0,3596000000.0,
12,AJG,ARTHUR J. GALLAGHER & CO.,2010-12-31,10-K,2014-02-07,249800000.0,,,,,,1106700000.0,,
8,AJG,ARTHUR J. GALLAGHER & CO.,2010-09-30,10-K,2012-02-14,,,46200000.0,463200000.0,,,,,
7,AJG,ARTHUR J. GALLAGHER & CO.,2010-06-30,10-K,2012-02-14,,,44000000.0,459500000.0,,,,,
6,AJG,ARTHUR J. GALLAGHER & CO.,2010-03-31,10-K,2012-02-14,,,29200000.0,482400000.0,,,,,
3,AJG,ARTHUR J. GALLAGHER & CO.,2009-12-31,10-K,2011-02-07,205900000.0,,128600000.0,1729300000.0,,102500000.0,892900000.0,3250300000.0,2357400000.0
4,AJG,ARTHUR J. GALLAGHER & CO.,2009-12-31,10-K,2012-02-14,205900000.0,,128600000.0,1729300000.0,,,892900000.0,3250300000.0,
5,AJG,ARTHUR J. GALLAGHER & CO.,2009-12-31,10-K,2013-02-08,205900000.0,,,,,,892900000.0,,
1,AJG,ARTHUR J. GALLAGHER & CO.,2008-12-31,10-K,2011-02-07,194400000.0,,77300000.0,1645000000.0,,,738500000.0,,
2,AJG,ARTHUR J. GALLAGHER & CO.,2008-12-31,10-K,2012-02-14,194400000.0,,,,,,738500000.0,,
0,AJG,ARTHUR J. GALLAGHER & CO.,2007-12-31,10-K,2011-02-07,255900000.0,,,,,,715500000.0,,
