,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
62,CL,COLGATE-PALMOLIVE COMPANY,2014-12-31,10-K,2018-02-15,1089000000.0,,,,,,906712145.0,,,
57,CL,COLGATE-PALMOLIVE COMPANY,2014-09-30,10-K,2015-02-19,,,542000000.0,,,,,,,
58,CL,COLGATE-PALMOLIVE COMPANY,2014-09-30,10-K,2016-02-18,,,542000000.0,,,,,,,
55,CL,COLGATE-PALMOLIVE COMPANY,2014-06-30,10-K,2015-02-19,,,622000000.0,,,,,,,
56,CL,COLGATE-PALMOLIVE COMPANY,2014-06-30,10-K,2016-02-18,,,622000000.0,,,,,,,
53,CL,COLGATE-PALMOLIVE COMPANY,2014-03-31,10-K,2015-02-19,,,388000000.0,,,,,,,
54,CL,COLGATE-PALMOLIVE COMPANY,2014-03-31,10-K,2016-02-18,,,388000000.0,,,,,,,
49,CL,COLGATE-PALMOLIVE COMPANY,2013-12-31,10-K,2014-02-20,962000000.0,5644000000.0,564000000.0,3556000000.0,17420000000.0,,919946575.0,2305000000.0,13876000000.0,11340000000.0
50,CL,COLGATE-PALMOLIVE COMPANY,2013-12-31,10-K,2015-02-19,962000000.0,5644000000.0,564000000.0,3556000000.0,17420000000.0,,919946575.0,2305000000.0,13985000000.0,11449000000.0
51,CL,COLGATE-PALMOLIVE COMPANY,2013-12-31,10-K,2016-02-18,962000000.0,,2241000000.0,3556000000.0,17420000000.0,,919946575.0,,13985000000.0,
52,CL,COLGATE-PALMOLIVE COMPANY,2013-12-31,10-K,2017-02-23,962000000.0,,,,,,919946575.0,,,
47,CL,COLGATE-PALMOLIVE COMPANY,2013-09-30,10-K,2014-02-20,,,656000000.0,,,,,,,
48,CL,COLGATE-PALMOLIVE COMPANY,2013-09-30,10-K,2015-02-19,,,656000000.0,,,,,,,
45,CL,COLGATE-PALMOLIVE COMPANY,2013-06-30,10-K,2014-02-20,,,561000000.0,,,,,,,
46,CL,COLGATE-PALMOLIVE COMPANY,2013-06-30,10-K,2015-02-19,,,561000000.0,,,,,,,
43,CL,COLGATE-PALMOLIVE COMPANY,2013-03-31,10-K,2014-02-20,,,460000000.0,,,,,,,
44,CL,COLGATE-PALMOLIVE COMPANY,2013-03-31,10-K,2015-02-19,,,460000000.0,,,,,,,
39,CL,COLGATE-PALMOLIVE COMPANY,2012-12-31,10-K,2013-02-21,884000000.0,5176000000.0,598000000.0,3889000000.0,,,467864338.0,2189000000.0,13394000000.0,11004000000.0
40,CL,COLGATE-PALMOLIVE COMPANY,2012-12-31,10-K,2014-02-20,884000000.0,5176000000.0,598000000.0,3889000000.0,17085000000.0,,935728676.0,2189000000.0,13394000000.0,11004000000.0
41,CL,COLGATE-PALMOLIVE COMPANY,2012-12-31,10-K,2015-02-19,884000000.0,,2472000000.0,3889000000.0,17085000000.0,,935728676.0,,13394000000.0,
42,CL,COLGATE-PALMOLIVE COMPANY,2012-12-31,10-K,2016-02-18,884000000.0,,,,,,935728676.0,,,
37,CL,COLGATE-PALMOLIVE COMPANY,2012-09-30,10-K,2013-02-21,,,654000000.0,,,,,,,
38,CL,COLGATE-PALMOLIVE COMPANY,2012-09-30,10-K,2014-02-20,,,654000000.0,,,,,,,
35,CL,COLGATE-PALMOLIVE COMPANY,2012-06-30,10-K,2013-02-21,,,627000000.0,,,,,,,
36,CL,COLGATE-PALMOLIVE COMPANY,2012-06-30,10-K,2014-02-20,,,627000000.0,,,,,,,
33,CL,COLGATE-PALMOLIVE COMPANY,2012-03-31,10-K,2013-02-21,,,593000000.0,,,,,,,
34,CL,COLGATE-PALMOLIVE COMPANY,2012-03-31,10-K,2014-02-20,,,593000000.0,,,,,,,
29,CL,COLGATE-PALMOLIVE COMPANY,2011-12-31,10-K,2012-02-23,878000000.0,4776000000.0,590000000.0,3841000000.0,,,480018075.0,2375000000.0,12724000000.0,10183000000.0
30,CL,COLGATE-PALMOLIVE COMPANY,2011-12-31,10-K,2013-02-21,878000000.0,4776000000.0,590000000.0,3841000000.0,,,480018075.0,2375000000.0,12724000000.0,10183000000.0
31,CL,COLGATE-PALMOLIVE COMPANY,2011-12-31,10-K,2014-02-20,878000000.0,,2431000000.0,3841000000.0,16734000000.0,,960036150.0,,12724000000.0,
32,CL,COLGATE-PALMOLIVE COMPANY,2011-12-31,10-K,2015-02-19,878000000.0,,,,,,960036150.0,,,
27,CL,COLGATE-PALMOLIVE COMPANY,2011-09-30,10-K,2012-02-23,,,643000000.0,,,,,,,
28,CL,COLGATE-PALMOLIVE COMPANY,2011-09-30,10-K,2013-02-21,,,643000000.0,,,,,,,
25,CL,COLGATE-PALMOLIVE COMPANY,2011-06-30,10-K,2012-02-23,,,622000000.0,,,,,,,
26,CL,COLGATE-PALMOLIVE COMPANY,2011-06-30,10-K,2013-02-21,,,622000000.0,,,,,,,
23,CL,COLGATE-PALMOLIVE COMPANY,2011-03-31,10-K,2012-02-23,,,576000000.0,,,,,,,
24,CL,COLGATE-PALMOLIVE COMPANY,2011-03-31,10-K,2013-02-21,,,576000000.0,,,,,,,
