ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
BLDR,97.45,-25.26,47.94,-0.439,-36.43,-0.0835,0.605,0.756,24.7,1.56,10617.0,9.873695573947463,5.314104626117757,8.591792681291052,5.0,7.27,HIGH,Industrials,2026-03-04,Industrials_batch1
CHRW,193.32,100.88,30.72,2.092,-15.08,0.255,0.325,4.679,39.4,0.9,22523.0,4.296869377473912,1.5805941490820568,8.591792681291052,5.0,4.48,MODERATE,Industrials,2026-03-04,Industrials_batch1
ACN,209.89,-38.69,32.02,-1.309,-42.1,-0.1664,-0.313,1.546,17.4,1.25,130229.0,1.7139165009940365,4.149072155524407,8.301667536606137,5.0,4.42,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
ADBE,270.99,-39.24,30.38,-1.231,-40.81,-0.1484,-0.42,1.533,16.4,1.53,114328.0,1.420477137176938,4.4021561338289965,7.925853685338315,5.0,4.33,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
AMD,190.95,89.53,56.23,1.198,-32.29,0.2673,0.288,1.714,77.4,2.02,329457.0,6.04572564612326,8.024516728624535,4.8238492155192905,5.0,6.19,HIGH,Information Technology,2026-03-04,Information Technology_batch1
AKAM,102.08,24.22,36.21,0.747,-22.06,0.1074,0.204,2.379,33.5,0.7,14921.0,2.4636182902584496,2.598027911511975,0.9999999999999982,5.0,2.72,LOW,Information Technology,2026-03-04,Information Technology_batch1
APH,129.58,107.1,37.35,2.384,-15.02,0.3533,-0.12,2.376,39.6,1.21,163178.0,2.6675944333996027,3.1341803278688523,6.240130765638307,5.0,3.99,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
ADI,338.99,52.16,32.74,1.373,-25.69,0.1785,0.075,2.553,62.5,1.02,166727.0,1.842743538767396,5.093127856664026,6.002692233729843,5.0,4.28,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
AMAT,351.32,131.87,44.28,2.143,-18.45,0.3764,-0.114,1.124,36.6,1.63,283922.0,3.907554671968191,3.874027058321652,6.606549270624433,5.0,4.66,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
APP,438.89,34.12,78.33,1.012,-47.3,0.3145,-0.576,1.779,48.1,2.5,163168.0,10.0,8.270819672131147,7.068543171890882,5.0,7.89,HIGH,Information Technology,2026-03-04,Information Technology_batch1
ANET,124.6,45.7,50.62,0.904,-27.53,0.1816,-0.116,1.037,49.0,1.46,169789.0,5.041948310139165,5.110309890913523,7.925853685338315,5.0,5.63,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
APD,273.04,-8.2,24.53,-0.288,-25.95,-0.0281,-0.049,1.928,,0.86,61052.0,1.5004943153732082,2.922105149987777,9.258849253258932,5.0,4.18,MODERATE,Materials,2026-03-04,Materials_batch1
ALB,164.73,133.02,62.74,1.606,-36.7,0.3999,-0.392,0.827,,1.48,19840.0,10.0,6.060384550145631,7.304797162899675,5.0,7.28,HIGH,Materials,2026-03-04,Materials_batch1
AMCR,47.17,-2.68,24.45,0.288,-17.15,0.0279,-0.103,1.471,34.5,0.64,21199.0,1.4826989619377158,1.495998152689007,2.526473434543739,5.0,2.4,LOW,Materials,2026-03-04,Materials_batch1
AVY,189.7,7.38,22.52,0.108,-16.95,0.0096,0.427,1.0,21.3,0.97,14470.0,1.053386060306475,2.316718409656286,2.526473434543739,5.0,2.52,LOW,Materials,2026-03-04,Materials_batch1
BALL,65.2,29.64,25.41,1.064,-21.02,0.1073,0.125,1.32,19.6,1.12,17360.0,1.6962432031636183,3.204359632150476,1.276678354506931,5.0,2.73,LOW,Materials,2026-03-04,Materials_batch1
CF,106.3,44.49,30.45,1.527,-23.25,0.1845,-0.184,0.725,11.7,0.69,16332.0,2.817350469599604,1.9289463299131808,1.0,5.0,2.62,LOW,Materials,2026-03-04,Materials_batch1
CTVA,78.93,33.28,22.28,1.77,-16.04,0.1565,-0.361,2.327,44.6,0.72,52707.0,1.0,1.8021957793701928,2.526473434543739,5.0,2.35,LOW,Materials,2026-03-04,Materials_batch1
CRH,113.55,18.83,32.82,0.492,-22.19,0.0641,0.186,1.303,20.6,1.2,75878.0,3.34453781512605,3.602734009373124,2.1390417808932582,5.0,3.51,MODERATE,Materials,2026-03-04,Materials_batch1
DOW,30.74,-7.86,46.97,0.094,-41.38,0.0176,-0.03,1.536,,0.71,23205.0,6.4920909540286695,4.084042797975149,10.0,5.0,6.17,HIGH,Materials,2026-03-04,Materials_batch1
DD,48.27,51.55,31.88,1.602,-23.22,0.2026,0.06,2.259,229.0,1.12,20144.0,3.1354424122590205,6.907892659826362,3.001502684303825,5.0,4.61,MODERATE,Materials,2026-03-04,Materials_batch1
ARE,52.22,-44.68,36.83,-1.017,-46.4,-0.1486,-0.761,1.274,,1.32,9285.0,10.0,6.210593619467945,4.901362274874237,5.0,6.84,HIGH,Real Estate,2026-03-04,Real Estate_batch1
AMT,190.25,-4.92,24.42,-0.058,-26.12,-0.0056,-0.213,0.919,35.3,0.91,89322.0,3.101297096973441,2.552905083902147,10.0,5.0,4.7,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
AVB,177.32,-17.61,21.35,-0.758,-20.84,-0.0642,-0.449,1.709,24.1,0.74,25218.0,1.394688079061149,1.299206086668872,6.9617526208670935,5.0,3.2,LOW,Real Estate,2026-03-04,Real Estate_batch1
BXP,55.25,-13.52,30.38,-0.324,-28.2,-0.039,-0.375,1.072,32.4,1.03,9974.0,6.414453366275478,3.274249375906159,6.9617526208670935,5.0,5.3,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
CPT,108.19,-8.83,20.64,-0.285,-18.3,-0.0233,-0.109,0.767,30.6,0.82,11570.0,1.0,1.4422778621678805,3.3646557351868207,5.0,2.41,LOW,Real Estate,2026-03-04,Real Estate_batch1
CBRE,142.63,2.18,30.06,0.475,-19.21,0.0566,-0.289,2.474,36.7,1.34,42181.0,6.23656578134651,3.872876017934408,3.6579295287102207,5.0,4.76,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
CSGP,46.78,-38.11,35.91,-0.719,-47.72,-0.1024,-0.629,2.645,2380.0,0.9,20174.0,9.488573193329213,8.02,6.9617526208670935,5.0,7.64,HIGH,Real Estate,2026-03-04,Real Estate_batch1
CCI,90.26,0.74,25.59,0.146,-26.75,0.0148,-0.316,1.019,36.2,0.95,39748.0,3.7516985793699815,2.790548961843069,3.381417764294765,5.0,3.64,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
DLR,178.13,17.96,24.4,0.728,-17.49,0.0705,-0.133,1.084,51.0,1.13,63881.0,3.090179122915379,2.7961053100725826,1.0,5.0,2.97,LOW,Real Estate,2026-03-04,Real Estate_batch1
EQIX,972.01,9.29,25.26,0.551,-19.65,0.0552,-0.068,2.479,70.4,1.03,95213.0,3.568252007411984,2.568670971299076,6.9617526208670935,5.0,4.23,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
AAPL,263.75,12.28,28.03,0.427,-24.36,0.0475,-0.124,2.414,33.3,1.12,3870258.0,2.405645903651427,3.399702010140842,5.0,5.0,3.74,MODERATE,,2026-03-04,
MSFT,403.93,4.74,22.94,0.243,-24.84,0.0221,-0.086,1.793,25.6,1.11,3045640.0,1.0,3.378201112285929,5.0,5.0,3.31,LOW,,2026-03-04,
TSLA,392.43,44.25,55.53,0.918,-28.15,0.2023,-0.023,1.099,368.8,1.93,1522362.0,10.0,9.079545454545457,5.0,5.0,7.72,HIGH,,2026-03-04,
